"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"HEPB_S_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 2 YEARS - 150 YEARS",NA,NA
"HEPB_S_J","LBXHBS","LBXHBS","Hepatitis B Surface Antibody","Hepatitis B Surface Antibody","Both males and females 2 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Indeterminate"", ""Missing""]; Count=[""2243"", ""4990"", ""0"", ""920""]; Cumulative=[""2243"", ""7233"", ""7233"", ""8153""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
