"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"L06UIO_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"L06UIO_B","URXUIO","URXUIO","Iodine urine (ng/mL)","Iodine urine (ng/mL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""6 to 136161"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2837"", ""105""]; Cumulative=[""2837"", ""2942""]; Skip.to.Item=[""NA"", ""NA""]"
"L06UIO_B","URXUCR","URXUCR","Creatinine urine (mg/dL)","Creatinine urine (mg/dL)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""9 to 774"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2858"", ""84""]; Cumulative=[""2858"", ""2942""]; Skip.to.Item=[""NA"", ""NA""]"
"L06UIO_B","WTUIO2YR","WTUIO2YR","Iodine Subsample 2 year Mec Weight","Iodine Subsample 2 year Mec Weight","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 663502.47832"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2942"", ""0""]; Cumulative=[""2942"", ""2942""]; Skip.to.Item=[""NA"", ""NA""]"
