"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSPCB_B","POOLID","POOLID","Pool ID number","Pool ID number","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=["".""]; Value.Description=[""Missing""]; Count=[""0""]; Cumulative=[""0""]; Skip.to.Item=[""NA""]"
"SSPCB_B","RIAGENDR","RIAGENDR","Gender","Gender","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Male"", ""Female"", ""Missing""]; Count=[""38"", ""40"", ""0""]; Cumulative=[""38"", ""78"", ""78""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSPCB_B","RIDRAETN","RIDRAETN","Ethnicity","Ethnicity","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Non-Hispanic White"", ""Non-Hispanic Black"", ""Mexican American"", ""Missing""]; Count=[""35"", ""20"", ""23"", ""0""]; Cumulative=[""35"", ""55"", ""78"", ""78""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SSPCB_B","RIDAGGRP","RIDAGGRP","Age Group","Age Group","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""-1"", "".""]; Value.Description=[""6 Yrs. to 11 Yrs."", ""12 Yrs. to 19 Yrs."", ""20 Yrs. to 39 Yrs."", ""40 Yrs. to 59Yrs."", ""60 Yrs. to 150 Yrs."", ""3 Yrs. to 5 Yrs."", ""Missing""]; Count=[""12"", ""19"", ""13"", ""10"", ""12"", ""12"", ""0""]; Cumulative=[""12"", ""31"", ""44"", ""54"", ""66"", ""78"", ""78""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SSPCB_B","RIANSMP","RIANSMP","Number of samples included in Pool","Number of samples included in Pool","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""21 to 57"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS028","SS028","PCB28","PCB28","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 6.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""77"", ""1""]; Cumulative=[""77"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS044","SS044","PCB44","PCB44","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 0.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""77"", ""1""]; Cumulative=[""77"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS049","SS049","PCB49","PCB49","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 0.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""77"", ""1""]; Cumulative=[""77"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS052","SS052","PCB52","PCB52","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 0.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""77"", ""1""]; Cumulative=[""77"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS066","SS066","PCB66","PCB66","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 2.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS074","SS074","PCB74","PCB74","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 24.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS087","SS087","PCB87","PCB87","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 0.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS099","SS099","PCB99","PCB99","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 16.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS101","SS101","PCB101","PCB101","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPCB_B","SS110","SS110","PCB110","PCB110","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.1 to 0.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""78"", ""0""]; Cumulative=[""78"", ""78""]; Skip.to.Item=[""NA"", ""NA""]"
