"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSAFB_A","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"SSAFB_A","WTSPH08","WTSPH08","Phthalate Mec Weight Jack Knife Rep 08","Phthalate Mec Weight Jack Knife Rep 08","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 779055.05256"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH09","WTSPH09","Phthalate Mec Weight Jack Knife Rep 09","Phthalate Mec Weight Jack Knife Rep 09","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 794668.1316"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH10","WTSPH10","Phthalate Mec Weight Jack Knife Rep 10","Phthalate Mec Weight Jack Knife Rep 10","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 789159.75121"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH11","WTSPH11","Phthalate Mec Weight Jack Knife Rep 11","Phthalate Mec Weight Jack Knife Rep 11","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 784645.39885"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH12","WTSPH12","Phthalate Mec Weight Jack Knife Rep 12","Phthalate Mec Weight Jack Knife Rep 12","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 780525.41317"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH13","WTSPH13","Phthalate Mec Weight Jack Knife Rep 13","Phthalate Mec Weight Jack Knife Rep 13","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 774699.59583"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH14","WTSPH14","Phthalate Mec Weight Jack Knife Rep 14","Phthalate Mec Weight Jack Knife Rep 14","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 800794.03906"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH15","WTSPH15","Phthalate Mec Weight Jack Knife Rep 15","Phthalate Mec Weight Jack Knife Rep 15","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 800067.91928"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH16","WTSPH16","Phthalate Mec Weight Jack Knife Rep 16","Phthalate Mec Weight Jack Knife Rep 16","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 771559.15812"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH17","WTSPH17","Phthalate Mec Weight Jack Knife Rep 17","Phthalate Mec Weight Jack Knife Rep 17","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 770860.4819"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
