"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"TRIGLY_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"TRIGLY_G","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 521033.37059"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3239"", ""0""]; Cumulative=[""3239"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_G","LBXTR","LBXTR","Triglyceride (mg/dL)","Triglyceride (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""18 to 1562"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2990"", ""249""]; Cumulative=[""2990"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_G","LBDTRSI","LBDTRSI","Triglyceride (mmol/L)","Triglyceride (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.203 to 17.635"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2990"", ""249""]; Cumulative=[""2990"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_G","LBDLDL","LBDLDL","LDL-cholesterol (mg/dL)","LDL-cholesterol (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""9 to 331"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2942"", ""297""]; Cumulative=[""2942"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
"TRIGLY_G","LBDLDLSI","LBDLDLSI","LDL-cholesterol (mmol/L)","LDL-cholesterol (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.233 to 8.56"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2942"", ""297""]; Cumulative=[""2942"", ""3239""]; Skip.to.Item=[""NA"", ""NA""]"
