"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"APOB_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"APOB_F","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 337218.92"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3581"", ""0""]; Cumulative=[""3581"", ""3581""]; Skip.to.Item=[""NA"", ""NA""]"
"APOB_F","LBXAPB","LBXAPB","Apolipoprotein (B) (mg/dL)","Apolipoprotein (B) (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""16 to 229"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3357"", ""224""]; Cumulative=[""3357"", ""3581""]; Skip.to.Item=[""NA"", ""NA""]"
"APOB_F","LBDAPBSI","LBDAPBSI","Apolipoprotein (B) (g/L)","Apolipoprotein (B) (g/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.16 to 2.29"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3357"", ""224""]; Cumulative=[""3357"", ""3581""]; Skip.to.Item=[""NA"", ""NA""]"
