"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"L13AM_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 3 YEARS - 150 YEARS",NA,NA
"L13AM_C","WTSAF2YR","WTSAF2YR","2Yr AM(3-11) & fasting (12+) weights","2Yr AM(3-11) & fasting (12+) weights","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 355659.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4034"", ""0""]; Cumulative=[""4034"", ""4034""]; Skip.to.Item=[""NA"", ""NA""]"
"L13AM_C","LBXTR","LBXTR","Triglyceride (mg/dL)","Triglyceride (mg/dL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""20 to 2740"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3680"", ""354""]; Cumulative=[""3680"", ""4034""]; Skip.to.Item=[""NA"", ""NA""]"
"L13AM_C","LBDTRSI","LBDTRSI","Triglyceride (mmol/L)","Triglyceride (mmol/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.226 to 30.935"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3680"", ""354""]; Cumulative=[""3680"", ""4034""]; Skip.to.Item=[""NA"", ""NA""]"
"L13AM_C","LBDLDL","LBDLDL","LDL-cholesterol (mg/dL)","LDL-cholesterol (mg/dL)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""21 to 629"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3618"", ""416""]; Cumulative=[""3618"", ""4034""]; Skip.to.Item=[""NA"", ""NA""]"
"L13AM_C","LBDLDLSI","LBDLDLSI","LDL-cholesterol (mmol/L)","LDL-cholesterol (mmol/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.543 to 16.266"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3618"", ""416""]; Cumulative=[""3618"", ""4034""]; Skip.to.Item=[""NA"", ""NA""]"
