"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSPFAS_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"SSPFAS_J","WTSSBJ2Y","WTSSBJ2Y","Surplus specimen B 17-18 2 year weights","Surplus specimen 2 year weights B for 2017-2018","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""16608.133384 to 1490958.0724"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No lab specimen"", ""Missing""]; Count=[""1672"", ""0"", ""0""]; Cumulative=[""1672"", ""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSPFAS_J","SSDONA","SSDONA","Dodecafluoro-3H-48-dioxanoate","Dodecafluoro-3H-48-dioxanoate","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 0.071"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1672"", ""0""]; Cumulative=[""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPFAS_J","SSDONAL","SSDONAL","Dodecafluoro-3H-48-dioxanoate cmt cd","Dodecafluoro-3H-48-dioxanoate comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""0"", ""1672"", ""0""]; Cumulative=[""0"", ""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSPFAS_J","SSGENX","SSGENX","GenX","GenX","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 0.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1672"", ""0""]; Cumulative=[""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPFAS_J","SSGENXL","SSGENXL","GenX cmt cd","GenX comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1"", ""1671"", ""0""]; Cumulative=[""1"", ""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSPFAS_J","SSCLPF","SSCLPF","Chlorohexadecafluorooxanonane sulfonate","Chlorohexadecafluorooxanonane sulfonate","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 11.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1672"", ""0""]; Cumulative=[""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPFAS_J","SSCLPFL","SSCLPFL","Chlorohexadecafluorooxanonane sulfon cd","Chlorohexadecafluorooxanonane sulfonate comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""199"", ""1473"", ""0""]; Cumulative=[""199"", ""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSPFAS_J","SSFHPS","SSFHPS","Perfluoro-1-heptanesulfonate","Perfluoro-1-heptanesulfonate","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 13.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1672"", ""0""]; Cumulative=[""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPFAS_J","SSFHPSL","SSFHPSL","Perfluoro-1-heptanesulfonate cmt cd","Perfluoro-1-heptanesulfonate comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1300"", ""372"", ""0""]; Cumulative=[""1300"", ""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSPFAS_J","SSPFHA","SSPFHA","Perfluorohexanoate","Perfluorohexanoate","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.071 to 0.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1672"", ""0""]; Cumulative=[""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA""]"
"SSPFAS_J","SSPFHAL","SSPFHAL","Perfluorohexanoate cmt cd","Perfluorohexanoate comment code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""8"", ""1664"", ""0""]; Cumulative=[""8"", ""1672"", ""1672""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
