"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"BFRPOL_D","SAMPLEID","SAMPLEID","Pool identification number","Pool identification number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"BFRPOL_D","LBCBR66L","LBCBR66L","2344-tetrabromodiphyl lpd adj(ng/g)","2344-tetrabromodiphyl lipid adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 0.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""247"", ""0""]; Cumulative=[""247"", ""247""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_D","LBDBR66C","LBDBR66C","2344-tetrabromodiphenyl ether comt","2344-tetrabromodiphenyl ether comt","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""6"", ""241"", ""0""]; Cumulative=[""6"", ""247"", ""247""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_D","LBCBR7","LBCBR7","224455-hxbromodiphnyl ethr(pg/g)","224455-hxbromodiphnyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""13.4 to 445.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""247"", ""0""]; Cumulative=[""247"", ""247""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_D","LBCBR7LA","LBCBR7LA","224455-hxbrompheyl lpd adj(ng/g)","224455-hxbromphenyl lipid adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.9 to 62"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""247"", ""0""]; Cumulative=[""247"", ""247""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_D","LBDBR7LC","LBDBR7LC","224455-hexabromphenyl ether comt","224455-hexabromphenyl ether comt","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""247"", ""0"", ""0""]; Cumulative=[""247"", ""247"", ""247""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_D","LBCBR8","LBCBR8","224456hexabromodiphyl ethr(pg/g)","224456-hexabromodiphyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.8 to 55.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""247"", ""0""]; Cumulative=[""247"", ""247""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_D","LBCBR8LA","LBCBR8LA","224456-hxabromphyl lpd adj(ng/g)","224456-hxabromphenyl lpd adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 7.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""247"", ""0""]; Cumulative=[""247"", ""247""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_D","LBDBR8LC","LBDBR8LC","224456-hexabromphenyl ether comt","224456-hexabromphenyl ether comt","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""201"", ""46"", ""0""]; Cumulative=[""201"", ""247"", ""247""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_D","LBCBR9","LBCBR9","2234456heptbromdiphyl ethr(pg/g)","2234456-heptabromodiphyl ethr(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.8 to 75.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""247"", ""0""]; Cumulative=[""247"", ""247""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_D","LBCBR9LA","LBCBR9LA","2234456-heptbrphl lpd adj(ng/g)","2234456-heptabrophenl lipid adj(ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 15.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""247"", ""0""]; Cumulative=[""247"", ""247""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_D","LBDBR9LC","LBDBR9LC","2234456-heptabrophenl ether cmt","2234456-heptabrophenl ether cmt","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""78"", ""169"", ""0""]; Cumulative=[""78"", ""247"", ""247""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
