"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSHCVR_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"SSHCVR_C","SSHCVRNA","SSHCVRNA","Hepatitis C RNA","Hepatitis C RNA","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Missing""]; Count=[""64"", ""12"", ""0""]; Cumulative=[""64"", ""76"", ""76""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSHCVR_C","SSHCVGEN","SSHCVGEN","Hepatitis C genotype","Hepatitis C genotype","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", "".""]; Value.Description=[""Genotype 1a"", ""Genotype 1b"", ""Genotype 1 other than 1 a or 1b or subtype not determined"", ""Genotype 2"", ""Genotype 3"", ""Genotype 4"", ""Genotype 5"", ""Genotype 6"", ""Undetermined"", ""Missing""]; Count=[""27"", ""18"", ""0"", ""9"", ""5"", ""2"", ""0"", ""1"", ""1"", ""13""]; Cumulative=[""27"", ""45"", ""45"", ""54"", ""59"", ""61"", ""61"", ""62"", ""63"", ""76""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
