"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"APOB_E","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"APOB_E","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 404655.623"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3315"", ""0""]; Cumulative=[""3315"", ""3315""]; Skip.to.Item=[""NA"", ""NA""]"
"APOB_E","LBXAPB","LBXAPB","Apolipoprotein (B) (mg/dL)","Apolipoprotein (B) (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""23 to 253"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3097"", ""218""]; Cumulative=[""3097"", ""3315""]; Skip.to.Item=[""NA"", ""NA""]"
"APOB_E","LBDAPBSI","LBDAPBSI","Apolipoprotein (B) (g/L)","Apolipoprotein (B) (g/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.23 to 2.53"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3097"", ""218""]; Cumulative=[""3097"", ""3315""]; Skip.to.Item=[""NA"", ""NA""]"
