"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"BFRPOL_F","SAMPLEID","SAMPLEID","Pool identification number","Pool identification number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"BFRPOL_F","LBCBR11","LBCBR11","Decabromodiphenyl ether (pg/g)","Decabromodiphenyl ether (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.536 to 715.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""300"", ""1""]; Cumulative=[""300"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBCBR11L","LBCBR11L","Decabromodiphenyl ether lipid adj (ng/g)","Decabromodiphenyl ether Lipid Adjusted (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7071 to 120.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""300"", ""1""]; Cumulative=[""300"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBDBR11C","LBDBR11C","Decabromodiphenyl ether Comment","Decabromodiphenyl ether Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""289"", ""11"", ""1""]; Cumulative=[""289"", ""300"", ""301""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_F","LBCBR2","LBCBR2","244-tribromodiphenyl ether (pg/g)","244-Tribromodiphenyl ether (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.807 to 30.21"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""300"", ""1""]; Cumulative=[""300"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBCBR2LA","LBCBR2LA","244-tribrmdphenyl ethr lpd adj (ng/g)","244-Tribromodiphenyl ether Lipid Adjusted (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2551 to 5.206"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""300"", ""1""]; Cumulative=[""300"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBDBR2LC","LBDBR2LC","244-tribromodiphenyl ether comment","244-Tribromodiphenyl ether Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""294"", ""6"", ""1""]; Cumulative=[""294"", ""300"", ""301""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_F","LBCBR3","LBCBR3","2244-tetrabromodiphenyl ethr (pg/g)","2244-Tetrabromodiphenyl ether (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""32.8 to 962.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBCBR3LA","LBCBR3LA","2244-tebrmdphnyl ethr lpd adj(ng/g)","2244-Tetrabromodiphenyl ether Lipid Adjusted (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.67 to 184.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBDBR3LC","LBDBR3LC","2244-tetrabromphenyl ether comment","2244-Tetrabromphenyl ether Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""301"", ""0"", ""0""]; Cumulative=[""301"", ""301"", ""301""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_F","LBCBR4","LBCBR4","22344-pentbromodiphenyl ethr(pg/g)","22344-Pentabromodiphenyl ether (pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 29.81"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBCBR4LA","LBCBR4LA","22344-pntabromphnyl lpd adj (ng/g)","22344-Pentabromodiphenyl ether Lipid Adjusted (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.09899 to 5.719"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBDBR4LC","LBDBR4LC","22344-pentabromphenyl ether comt","22344-Pentabromphenyl ether Comment Code","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""267"", ""34"", ""0""]; Cumulative=[""267"", ""301"", ""301""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BFRPOL_F","LBCBR5","LBCBR5","22445-pentabromodiphnyl ethr(pg/g)","22445-Pentabromodiphnyl ether(pg/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.097 to 432.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
"BFRPOL_F","LBCBR5LA","LBCBR5LA","22445-pntabromphenyl lpd adj(ng/g)","22445-Pentabromodiphenyl ether Lipid Adjusted (ng/g)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.5834 to 82.95"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""301"", ""0""]; Cumulative=[""301"", ""301""]; Skip.to.Item=[""NA"", ""NA""]"
