"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSFLRT_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"SSFLRT_H","WTSSCH2Y","WTSSCH2Y","Surplus specimen C 13-14 2 year weights","Surplus specimen 2 year weights C for 2013-2014","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""19943.069763 to 604985.17222"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No lab specimen"", ""Missing""]; Count=[""2317"", ""0"", ""0""]; Cumulative=[""2317"", ""2317"", ""2317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFLRT_H","SSDPHP","SSDPHP","Diphenyl phosphate (ug/L)","Diphenyl phosphate (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.11 to 193"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2312"", ""5""]; Cumulative=[""2312"", ""2317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFLRT_H","SSDPHPL","SSDPHPL","Diphenyl phosphate cmt code","Diphenyl phosphate comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2116"", ""196"", ""5""]; Cumulative=[""2116"", ""2312"", ""2317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFLRT_H","SSBDCPP","SSBDCPP","Bis(13-dichloro-2-propyl) phospht(ug/L)","Bis(13-dichloro-2-propyl) phosphate (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.08 to 169"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2299"", ""18""]; Cumulative=[""2299"", ""2317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFLRT_H","SSBDCPPL","SSBDCPPL","Bis(13-dichloro-2-propyl) phosphate cmt","Bis(13-dichloro-2-propyl) phosphate comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2127"", ""172"", ""18""]; Cumulative=[""2127"", ""2299"", ""2317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFLRT_H","SSBCPP","SSBCPP","Bis(1-chloro-2-propyl) phosphate (ug/L)","Bis(1-chloro-2-propyl) phosphate (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 14.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2316"", ""1""]; Cumulative=[""2316"", ""2317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFLRT_H","SSBCPPL","SSBCPPL","Bis(1-chloro-2-propyl) phosphate cmt","Bis(1-chloro-2-propyl) phosphate comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1400"", ""916"", ""1""]; Cumulative=[""1400"", ""2316"", ""2317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFLRT_H","SSBCEP","SSBCEP","Bis(2-chloroethyl) phosphate (ug/L)","Bis(2-chloroethyl) phosphate (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.06 to 110"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2303"", ""14""]; Cumulative=[""2303"", ""2317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFLRT_H","SSBCEPL","SSBCEPL","Bis(2-chloroethyl) phosphate cmt code","Bis(2-chloroethyl) phosphate comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2052"", ""251"", ""14""]; Cumulative=[""2052"", ""2303"", ""2317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSFLRT_H","SSDPCP","SSDPCP","Di-p-cresyl phosphate (ug/L)","Di-p-cresyl phosphate (ug/L)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.04 to 1.62"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2316"", ""1""]; Cumulative=[""2316"", ""2317""]; Skip.to.Item=[""NA"", ""NA""]"
"SSFLRT_H","SSDPCPL","SSDPCPL","Di-p-cresyl phosphate cmt code","Di-p-cresyl phosphate comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""310"", ""2006"", ""1""]; Cumulative=[""310"", ""2316"", ""2317""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
