"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"L06TFR_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 5 YEARS",NA,NA
"L06TFR_C","LBXTFR","LBXTFR","Transferrin receptor (mg/L)","Transferrin receptor (mg/L)","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""1.3 to 28.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2831"", ""734""]; Cumulative=[""2831"", ""3565""]; Skip.to.Item=[""NA"", ""NA""]"
"L06TFR_C","LBDFER","LBDFER","Ferritin(ng/mL)","Ferritin(ng/mL)","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""3 to 2460"", ""2"", "".""]; Value.Description=[""Range of Values"", ""Below Detection Limit Fill Value"", ""Missing""]; Count=[""2978"", ""3"", ""584""]; Cumulative=[""2978"", ""2981"", ""3565""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"L06TFR_C","LBDFERSI","LBDFERSI","Ferritin in SI unit (ug/L)","Ferritin in SI unit (ug/L)","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""3 to 2460"", ""2"", "".""]; Value.Description=[""Range of Values"", ""Below Detection Limit Fill Value"", ""Missing""]; Count=[""2978"", ""3"", ""584""]; Cumulative=[""2978"", ""2981"", ""3565""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
