"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"L06BMT_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 150 YEARS",NA,NA
"L06BMT_C","LBXBCD","LBXBCD","Cadmium (ug/L)","Cadmium (ug/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 7.4"", ""0.1"", "".""]; Value.Description=[""Range of Values"", ""Below Limit of Detection"", ""Missing""]; Count=[""5616"", ""2756"", ""807""]; Cumulative=[""5616"", ""8372"", ""9179""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"L06BMT_C","LBDBCDSI","LBDBCDSI","Cadmium (nmoL/L)","Cadmium (nmoL/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.78 to 65.84"", ""0.89"", "".""]; Value.Description=[""Range of Values"", ""Below Limit of Detection"", ""Missing""]; Count=[""5616"", ""2756"", ""807""]; Cumulative=[""5616"", ""8372"", ""9179""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"L06BMT_C","LBXBPB","LBXBPB","Lead (ug/dL)","Lead (ug/dL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.3 to 68.9"", ""0.2"", "".""]; Value.Description=[""Range of Values"", ""Below Limit of Detection"", ""Missing""]; Count=[""8349"", ""24"", ""806""]; Cumulative=[""8349"", ""8373"", ""9179""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"L06BMT_C","LBDBPBSI","LBDBPBSI","Lead (umoL/L)","Lead (umoL/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.014 to 3.328"", ""0.01"", "".""]; Value.Description=[""Range of Values"", ""Below Limit of Detection"", ""Missing""]; Count=[""8349"", ""24"", ""806""]; Cumulative=[""8349"", ""8373"", ""9179""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"L06BMT_C","LBXTHG","LBXTHG","Mercury total (ug/L)","Mercury total (ug/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 32.8"", ""0.1"", ""0.14"", "".""]; Value.Description=[""Range of Values"", ""Below First Limit of Detection"", ""Below Second Limit of Detection"", ""Missing""]; Count=[""7356"", ""372"", ""645"", ""806""]; Cumulative=[""7356"", ""7728"", ""8373"", ""9179""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L06BMT_C","LBDTHGSI","LBDTHGSI","Mercury total (umoL/L)","Mercury total (umoL/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 163.67"", ""0.5"", ""0.7"", "".""]; Value.Description=[""Range of Values"", ""Below First Limit of Detection"", ""Below Second Limit of Detection"", ""Missing""]; Count=[""7356"", ""372"", ""645"", ""806""]; Cumulative=[""7356"", ""7728"", ""8373"", ""9179""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"L06BMT_C","LBXIHG","LBXIHG","Mercury inorganic (ug/L)","Mercury inorganic (ug/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.4 to 40.2"", ""0.3"", "".""]; Value.Description=[""Range of Values"", ""Below Limit of Detection"", ""Missing""]; Count=[""1854"", ""6293"", ""1032""]; Cumulative=[""1854"", ""8147"", ""9179""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"L06BMT_C","LBDIHGSI","LBDIHGSI","Mercury inorganic (umoL/L)","Mercury inorganic (umoL/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""2 to 200.6"", ""1.5"", "".""]; Value.Description=[""Range of Values"", ""Below Limit of Detection"", ""Missing""]; Count=[""1854"", ""6293"", ""1032""]; Cumulative=[""1854"", ""8147"", ""9179""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
