"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SSGLYP_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"SSGLYP_H","WTSSCH2Y","WTSSCH2Y","Surplus specimen C 13-14 2 year weights","Surplus specimen 2 year weights C for 2013-2014","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""19943.069763 to 604985.17222"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No lab specimen"", ""Missing""]; Count=[""2316"", ""0"", ""0""]; Cumulative=[""2316"", ""2316"", ""2316""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"SSGLYP_H","SSGLYP","SSGLYP","Glyphosate","Glyphosate","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.141 to 8.13"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2310"", ""6""]; Cumulative=[""2310"", ""2316""]; Skip.to.Item=[""NA"", ""NA""]"
"SSGLYP_H","SSGLYPL","SSGLYPL","Glyphosate comment code","Glyphosate comment code","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""1885"", ""425"", ""6""]; Cumulative=[""1885"", ""2310"", ""2316""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
