"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"GLU_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 12 YEARS - 150 YEARS",NA,NA
"GLU_J","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""9133.518063 to 944153.24975"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result or Not Fasting for 8 to <24 hours"", ""Missing""]; Count=[""2711"", ""325"", ""0""]; Cumulative=[""2711"", ""3036"", ""3036""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"GLU_J","LBXGLU","LBXGLU","Fasting Glucose (mg/dL)","Fasting Glucose (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""47 to 451"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2891"", ""145""]; Cumulative=[""2891"", ""3036""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_J","LBDGLUSI","LBDGLUSI","Fasting Glucose (mmol/L)","Fasting Glucose (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.61 to 25"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2891"", ""145""]; Cumulative=[""2891"", ""3036""]; Skip.to.Item=[""NA"", ""NA""]"
