"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"UVOCS_G","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 20 YEARS - 150 YEARS",NA,NA
"UVOCS_G","WTFSM","WTFSM","Two year smoking weights","Two year smoking weights","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""5682.47 to 700606.65"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No Lab Result"", ""Missing""]; Count=[""2272"", ""77"", ""0""]; Cumulative=[""2272"", ""2349"", ""2349""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UVOCS_G","URXUCR","URXUCR","Creatinine urine (mg/dL)","Creatinine urine (mg/dL)","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""4 to 800"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2271"", ""78""]; Cumulative=[""2271"", ""2349""]; Skip.to.Item=[""NA"", ""NA""]"
"UVOCS_G","URX1DC","URX1DC","N-Acel-S-(12-dichlorovinl)-L-Cys(ng/mL)","N-Acetyl-S-(12-dichlorovinyl)-L-Cysteine (ng/mL)","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""8.9 to 90.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2240"", ""109""]; Cumulative=[""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA""]"
"UVOCS_G","URD1DCLC","URD1DCLC","N-Acel-S-(12-dichlorovinl)-L-Cys comt","N-Acetyl-S-(12-dichlorovinyl)-L-Cysteine comment code","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""4"", ""2236"", ""109""]; Cumulative=[""4"", ""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UVOCS_G","URX2DC","URX2DC","N-Acel-S-(22-Dichlorvinyl)-L-Cys(ng/mL)","N-Acetyl-S-(22-Dichlorovinyl)-L-Cysteine (ng/mL)","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.32 to 19.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2240"", ""109""]; Cumulative=[""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA""]"
"UVOCS_G","URD2DCLC","URD2DCLC","N-Acel-S-(22-Dichlorvinyl)-L-Cys comt","N-Acetyl-S-(22-Dichlorovinyl)-L-Cysteine comment code","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""6"", ""2234"", ""109""]; Cumulative=[""6"", ""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UVOCS_G","URX2MH","URX2MH","2-Methylhippuric acid (ng/mL)","2-Methylhippuric acid (ng/mL)","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""3.54 to 18200"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2240"", ""109""]; Cumulative=[""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA""]"
"UVOCS_G","URD2MHLC","URD2MHLC","2-Methylhippuric acid comment code","2-Methylhippuric acid comment code","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2161"", ""79"", ""109""]; Cumulative=[""2161"", ""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UVOCS_G","URX34M","URX34M","3-Methipurc acd & 4-Methipurc acd(ng/mL)","3-Methylhippuric acid & 4-Methylhippuric acid(ng/mL)","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.66 to 55000"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2240"", ""109""]; Cumulative=[""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA""]"
"UVOCS_G","URD34MLC","URD34MLC","3-Methipurc acd & 4-Methipurc acid comt","3-Methylhippuric acid & 4-Methylhippuric acid comment code","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2238"", ""2"", ""109""]; Cumulative=[""2238"", ""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UVOCS_G","URXAAM","URXAAM","N-Ace-S-(2-carbamoylethyl)-L-Cys(ng/mL)","N-Acetyl-S-(2-carbamoylethyl)-L-Cysteine(ng/mL)","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.56 to 1620"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2240"", ""109""]; Cumulative=[""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA""]"
"UVOCS_G","URDAAMLC","URDAAMLC","N-Ace-S-(2-carbamoylethyl)-L-Cys comt","N-Acetyl-S-(2-carbamoylethyl)-L-Cysteine comment code","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2238"", ""2"", ""109""]; Cumulative=[""2238"", ""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"UVOCS_G","URXAMC","URXAMC","N-Ace-S-(N-methlcarbamoyl)-L-Cys(ng/mL)","N-Acetyl-S-(N-methylcarbamoyl)-L-Cysteine(ng/mL)","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""4.43 to 4320"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2240"", ""109""]; Cumulative=[""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA""]"
"UVOCS_G","URDAMCLC","URDAMCLC","N-Ace-S-(N-methlcarbamoyl)-L-Cys comt","N-Acetyl-S-(N-methylcarbamoyl)-L-Cysteine comment code","Both males and females 20 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""2237"", ""3"", ""109""]; Cumulative=[""2237"", ""2240"", ""2349""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
