"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"P_SSFR","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 3 YEARS - 150 YEARS",NA,NA
"P_SSFR","SSBPPP","SSBPPP","4(tert-butyl)phenyl)phenyl phosphateug/L","4-((tert-butyl)phenyl)phenyl phosphate (µg/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.035 to 6.38"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3923"", ""1006""]; Cumulative=[""3923"", ""4929""]; Skip.to.Item=[""NA"", ""NA""]"
"P_SSFR","SSBPPPL","SSBPPPL","4(tert-butyl)phenyl)phenyl phosphate cd","4-((tert-butyl)phenyl)phenyl phosphate (µg/L) comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""964"", ""2959"", ""1006""]; Cumulative=[""964"", ""3923"", ""4929""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_SSFR","SSIPPP","SSIPPP","2(isopropyl)phenyl)phenyl phosphateug/L","2-((isopropyl)phenyl)phenyl phosphate (µg/L)","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.035 to 4.19"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3913"", ""1016""]; Cumulative=[""3913"", ""4929""]; Skip.to.Item=[""NA"", ""NA""]"
"P_SSFR","SSIPPPL","SSIPPPL","2(isopropyl)phenyl)phenyl phosphate cd","2-((isopropyl)phenyl)phenyl phosphate (µg/L) comment code","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""654"", ""3259"", ""1016""]; Cumulative=[""654"", ""3913"", ""4929""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_SSFR","WTSSBPP","WTSSBPP","Surplus specimen B weights pre-pandemic","Surplus specimen B weights pre-pandemic","Both males and females 3 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1018359.9145"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4929"", ""0""]; Cumulative=[""4929"", ""4929""]; Skip.to.Item=[""NA"", ""NA""]"
