"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"FERTIN_L","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 1 YEARS - 5 YEARS",NA,NA
"FERTIN_L","WTPH2YR","WTPH2YR","Phlebotomy 2 Year Weight","Phlebotomy 2 Year Weight","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""6213.3002375 to 253478.77765"", ""0"", "".""]; Value.Description=[""Range of Values"", ""No blood sample provided"", ""Missing""]; Count=[""2051"", ""513"", ""0""]; Cumulative=[""2051"", ""2564"", ""2564""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"FERTIN_L","LBXFER","LBXFER","Ferritin(ng/mL)","Ferritin(ng/mL)","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""2.05 to 984"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1950"", ""614""]; Cumulative=[""1950"", ""2564""]; Skip.to.Item=[""NA"", ""NA""]"
"FERTIN_L","LBDFERSI","LBDFERSI","Ferritin(µg/L)","Ferritin(µg/L)","Both males and females 1 YEARS - 5 YEARS",NA,"Code.or.Value=[""2.05 to 984"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1950"", ""614""]; Cumulative=[""1950"", ""2564""]; Skip.to.Item=[""NA"", ""NA""]"
