"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"GLU_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"GLU_F","WTSAF2YR","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","Fasting Subsample 2 Year MEC Weight","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 337218.92"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3581"", ""0""]; Cumulative=[""3581"", ""3581""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_F","LBXGLU","LBXGLU","Fasting Glucose (mg/dL)","Fasting Glucose (mg/dL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""36 to 375"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3386"", ""195""]; Cumulative=[""3386"", ""3581""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_F","LBDGLUSI","LBDGLUSI","Fasting Glucose (mmol/L)","Fasting Glucose (mmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.998 to 20.816"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3386"", ""195""]; Cumulative=[""3386"", ""3581""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_F","LBXIN","LBXIN","Insulin (uU/mL)","Insulin (uU/mL)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.88 to 320.22"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3337"", ""244""]; Cumulative=[""3337"", ""3581""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_F","LBDINSI","LBDINSI","Insulin (pmol/L)","Insulin (pmol/L)","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""5.28 to 1921.32"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3337"", ""244""]; Cumulative=[""3337"", ""3581""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_F","PHAFSTHR","PHAFSTHR","Total length of food fast hours","Total length of food fast hours","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 39"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3535"", ""46""]; Cumulative=[""3535"", ""3581""]; Skip.to.Item=[""NA"", ""NA""]"
"GLU_F","PHAFSTMN","PHAFSTMN","Total length of food fast minutes","Total length of food fast minutes","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 59"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3535"", ""46""]; Cumulative=[""3535"", ""3581""]; Skip.to.Item=[""NA"", ""NA""]"
