"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"HEPC_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 6 YEARS - 150 YEARS",NA,NA
"HEPC_H","LBXHCR","LBXHCR","Hepatitis C RNA (HCV-RNA)","Hepatitis C RNA (HCV-RNA)","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Positive"", ""Negative"", ""Negative Screening HCV Antibody"", ""Missing""]; Count=[""67"", ""70"", ""7490"", ""664""]; Cumulative=[""67"", ""137"", ""7627"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"HEPC_H","LBXHCG","LBXHCG","Hepatitis C genotype","Hepatitis C genotype","Both males and females 6 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", "".""]; Value.Description=[""Genotype 1a"", ""Genotype 1b"", ""Gen1 other than a/b/not determined"", ""Genotype 2"", ""Genotype 3"", ""Genotype 4"", ""Genotype 5"", ""Genotype 6"", ""Genotype undetermined"", ""Missing""]; Count=[""47"", ""10"", ""0"", ""4"", ""5"", ""0"", ""0"", ""0"", ""1"", ""8224""]; Cumulative=[""47"", ""57"", ""57"", ""61"", ""66"", ""66"", ""66"", ""66"", ""67"", ""8291""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
