"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"PBCD_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 1 YEARS - 150 YEARS",NA,NA
"PBCD_H","WTSH2YR","WTSH2YR","Blood metal weights","Blood metal weights","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""4533.45942 to 322113.58855"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Participants 12+ years with no lab specimen"", ""Missing""]; Count=[""5766"", ""166"", ""0""]; Cumulative=[""5766"", ""5932"", ""5932""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PBCD_H","LBXBPB","LBXBPB","Blood lead (ug/dL)","Blood lead (ug/dL)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 34.11"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5215"", ""717""]; Cumulative=[""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA""]"
"PBCD_H","LBDBPBSI","LBDBPBSI","Blood lead (umol/L)","Blood lead (umol/L) ","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.003 to 1.648"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5215"", ""717""]; Cumulative=[""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA""]"
"PBCD_H","LBDBPBLC","LBDBPBLC","Blood lead comment code","Blood lead comment code","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""5215"", ""0"", ""717""]; Cumulative=[""5215"", ""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PBCD_H","LBXBCD","LBXBCD","Blood cadmium (ug/L)","Blood cadmium (ug/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.07 to 7.23"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5215"", ""717""]; Cumulative=[""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA""]"
"PBCD_H","LBDBCDSI","LBDBCDSI","Blood cadmium (umol/L)","Blood cadmium (umol/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.62 to 64.33"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5215"", ""717""]; Cumulative=[""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA""]"
"PBCD_H","LBDBCDLC","LBDBCDLC","Blood cadmium comment code","Blood cadmium comment code","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3703"", ""1512"", ""717""]; Cumulative=[""3703"", ""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PBCD_H","LBXTHG","LBXTHG","Blood mercury total (ug/L)","Blood mercury total (ug/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.2 to 46.39"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5215"", ""717""]; Cumulative=[""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA""]"
"PBCD_H","LBDTHGSI","LBDTHGSI","Blood mercury total (umol/L)","Blood mercury total (umol/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 231.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5215"", ""717""]; Cumulative=[""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA""]"
"PBCD_H","LBDTHGLC","LBDTHGLC","Blood mercury total comment code","Blood mercury total comment code","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""3876"", ""1339"", ""717""]; Cumulative=[""3876"", ""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PBCD_H","LBXBSE","LBXBSE","Blood selenium (ug/L)","Blood selenium(ug/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""86.09 to 734.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5215"", ""717""]; Cumulative=[""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA""]"
"PBCD_H","LBDBSESI","LBDBSESI","Blood selenium (umol/L)","Blood selenium (umol/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.09 to 9.33"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5215"", ""717""]; Cumulative=[""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA""]"
"PBCD_H","LBDBSELC","LBDBSELC","Blood selenium comment code","Blood selenium comment code","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""5215"", ""0"", ""717""]; Cumulative=[""5215"", ""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"PBCD_H","LBXBMN","LBXBMN","Blood manganese (ug/L)","Blood manganese (ug/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1.75 to 54.92"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5215"", ""717""]; Cumulative=[""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA""]"
"PBCD_H","LBDBMNSI","LBDBMNSI","Blood manganese (umol/L)","Blood manganese (umol/L)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""31.85 to 999.54"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5215"", ""717""]; Cumulative=[""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA""]"
"PBCD_H","LBDBMNLC","LBDBMNLC","Blood manganese comment code","Blood manganese comment code","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""At or above the detection limit"", ""Below lower detection limit"", ""Missing""]; Count=[""5215"", ""0"", ""717""]; Cumulative=[""5215"", ""5215"", ""5932""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
