Titulo,Descricao,Nome_Modulo,Documento,Link
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 1This set of questions determines if anyone in the household is eligible to be in the sample.,[PDF - 75 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener1_07_eng.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 1 (Spanish)This is the same module in Spanish.,[PDF - 121 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener1_07_esp.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 2This set of questions establishes the relationship of everyone in the household to each other.,[PDF - 78 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener2_07_eng.pdf
Screener Module: In-person/Telephone Instrument,The following questionnaires are used by field interviewers to collect screener information during the in-person interview on the doorstep or through a telephone interview with an adult household member.,Screener Module 2 (Spanish)This is the same module in Spanish.,[PDF - 135 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/screener2_07_esp.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Consumer Behavior,[PDF - 19 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/cbq_family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Demographic Background,[PDF - 40 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/dmq_family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Family Questionnaire Hand Cards,[PDF - 42 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/2011-2012_Handcards_Family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Food Security,[PDF - 45 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/fsq_family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Housing Characteristics,[PDF - 10 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/hoq_family.pdf
Family Questionnaire,Household and family level information is collected here. The sections are labeled to reflect content.,Income,[PDF - 146 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/inq_family.pdf
