Lab Method Name,Documentation,Release Date,PDF Link
"2,4-dichlorophenol, 2,5-dichlorophenol",[PDF - 463 KB],January 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/pp_g_met.pdf
"2,4-dichlorophenol, 2,5-dichlorophenol",[PDF - 463 KB],January 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/pp_g_met.pdf
25-Hydroxyvitamin D in Serum,[PDF - 1.08 MB],October 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/vid_g_met_vitamin_d.pdf
4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol (NNAL),[PDF - 135 KB],September 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/cotnal_g_met_nal.pdf
Alanine Amino Transferase (ALT),[PDF - 131 KB],September 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/biopro_g_met_alanine_amino_transferase.pdf
Albumin,[PDF - 140 KB],September 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/biopro_g_met_albumin.pdf
Alkaline Phosphatase (ALP),[PDF - 127 KB],September 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/biopro_g_met_alkaline_phosphatase.pdf
"Antimony, Arsenic, Barium, Beryllium, Cadmium, Cesium, Cobalt, Lead, Manganese, Molybdenum, Platinum, Strontium, Thallium, Tin, Tungsten, and Uranium",[PDF - 1.45 MB],October 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/uhm_g_met_heavy_metals.pdf
Apolipoprotein B,[PDF - 179 KB],January 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/apob_g_met.pdf
"Arsenobetaine, Arsenocholine, Trimethylarsine oxide, Monomethylarsonic acid, Dimethylarsinic acid, Arsenous (III) acid, Arsenic (V) acid",[PDF - 1.32 MB],October 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/uas_g_met_arsenics.pdf
Aspartate Aminotransferase (AST),[PDF - 130 KB],September 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/biopro_g_met_aspartate-aminotransferase.pdf
"Benzophenone-3, bisphenol A, 2,4-dichlorophenol, 2,5-dichlorophenol, methyl-, ethyl-, propyl-, and butyl parabens, triclosan Count",[PDF - 800 KB],January 2014,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/EPH_G_met.pdf
Bicarbonate (HCO3),[PDF - 140 KB],September 2013,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/biopro_g_met_bicarbonate.pdf
