,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,OHQ030,,,,,,,,,,,,
2,OHQ033,,,,,,,,,,,,
3,OHQ770,,,,,,,,,,,,
4,OHQ780A,,,,,,,,,,,,
5,OHQ780B,,,,,,,,,,,,
6,OHQ780C,,,,,,,,,,,,
7,OHQ780D,,,,,,,,,,,,
8,OHQ780E,,,,,,,,,,,,
9,OHQ780F,,,,,,,,,,,,
10,OHQ780G,,,,,,,,,,,,
11,OHQ780H,,,,,,,,,,,,
12,OHQ780I,,,,,,,,,,,,
13,OHQ780J,,,,,,,,,,,,
14,OHQ780K,,,,,,,,,,,,
15,OHQ550,,,,,,,,,,,,
16,OHQ555G,,,,,,,,,,,,
17,OHQ555Q,,,,,,,,,,,,
18,OHQ555U,,,,,,,,,,,,
19,OHQ560G,,,,,,,,,,,,
20,OHQ560Q,,,,,,,,,,,,
21,OHQ560U,,,,,,,,,,,,
22,OHQ566,,,,,,,,,,,,
23,OHQ571Q,,,,,,,,,,,,
24,OHQ571U,,,,,,,,,,,,
25,OHQ576G,,,,,,,,,,,,
26,OHQ576Q,,,,,,,,,,,,
27,OHQ576U,,,,,,,,,,,,
28,OHQ592,,,,,,,,,,,,
29,OHQ610,,,,,,,,,,,,
30,OHQ612,,,,,,,,,,,,
31,OHQ614,,,,,,,,,,,,
32,OHQ616,,,,,,,,,,,,
33,OHQ620,,,,,,,,,,,,
34,OHQ640,,,,,,,,,,,,
35,OHQ680,,,,,,,,,,,,
36,OHQ835,,,,,,,,,,,,
37,OHQ845,,,,,,,,,,,,
38,OHQ846,,,,,,,,,,,,
39,OHQ848G,,,,,,,,,,,,
40,OHQ848Q,,,,,,,,,,,,
41,OHQ849,,,,,,,,,,,,
42,OHQ850,,,,,,,,,,,,
43,OHQ860,,,,,,,,,,,,
44,OHQ870,,,,,,,,,,,,
45,OHQ880,,,,,,,,,,,,
46,OHQ895,,,,,,,,,,,,
47,OHQ900,,,,,,,,,,,,
