,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,SMD410,,,,,,,,,,,,
2,SMD415,,,,,,,,,,,,
3,SMD415A,,,,,,,,,,,,
4,SMD430,,,,,,,,,,,,
