,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,ACQ005,,,,,,,,,,,,
2,ACD010A,,,,,,,,,,,,
3,ACD010B,,,,,,,,,,,,
4,ACD010C,,,,,,,,,,,,
5,ACQ015,,,,,,,,,,,,
6,ACQ020,,,,,,,,,,,,
7,ACQ030,,,,,,,,,,,,
8,ACD040,,,,,,,,,,,,
9,ACQ050,,,,,,,,,,,,
10,ACQ060,,,,,,,,,,,,
11,ACD070,,,,,,,,,,,,
12,ACD080,,,,,,,,,,,,
