,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,MCQ010,,,,,,,,,,,,
2,MCQ025,,,,,,,,,,,,
3,MCQ035,,,,,,,,,,,,
4,MCQ040,,,,,,,,,,,,
5,MCQ050,,,,,,,,,,,,
6,MCQ051,,,,,,,,,,,,
7,MCQ053,,,,,,,,,,,,
8,MCQ070,,,,,,,,,,,,
9,MCQ080,,,,,,,,,,,,
10,MCQ082,,,,,,,,,,,,
11,MCQ086,,,,,,,,,,,,
12,MCQ092,,,,,,,,,,,,
13,MCD093,,,,,,,,,,,,
14,MCQ140,,,,,,,,,,,,
15,MCQ149,,,,,,,,,,,,
16,MCQ160A,,,,,,,,,,,,
17,MCQ180A,,,,,,,,,,,,
18,MCQ191,,,,,,,,,,,,
19,MCQ160N,,,,,,,,,,,,
20,MCQ180N,,,,,,,,,,,,
21,MCQ160B,,,,,,,,,,,,
22,MCQ180B,,,,,,,,,,,,
23,MCQ160C,,,,,,,,,,,,
24,MCQ180C,,,,,,,,,,,,
25,MCQ160D,,,,,,,,,,,,
26,MCQ180D,,,,,,,,,,,,
27,MCQ160E,,,,,,,,,,,,
28,MCQ180E,,,,,,,,,,,,
29,MCQ160F,,,,,,,,,,,,
30,MCQ180F,,,,,,,,,,,,
31,MCQ160G,,,,,,,,,,,,
32,MCQ180G,,,,,,,,,,,,
33,MCQ160M,,,,,,,,,,,,
34,MCQ170M,,,,,,,,,,,,
35,MCQ180M,,,,,,,,,,,,
36,MCQ160K,,,,,,,,,,,,
37,MCQ170K,,,,,,,,,,,,
38,MCQ180K,,,,,,,,,,,,
39,MCQ160L,,,,,,,,,,,,
40,MCQ170L,,,,,,,,,,,,
41,MCQ180L,,,,,,,,,,,,
42,MCQ220,,,,,,,,,,,,
43,MCQ230A,,,,,,,,,,,,
44,MCQ230B,,,,,,,,,,,,
45,MCQ230C,,,,,,,,,,,,
46,MCQ230D,,,,,,,,,,,,
47,MCQ240A,,,,,,,,,,,,
48,MCQ240AA,,,,,,,,,,,,
49,MCQ240B,,,,,,,,,,,,
50,MCQ240BB,,,,,,,,,,,,
51,MCQ240C,,,,,,,,,,,,
52,MCQ240CC,,,,,,,,,,,,
53,MCQ240D,,,,,,,,,,,,
54,MCQ240DD,,,,,,,,,,,,
55,MCQ240DK,,,,,,,,,,,,
56,MCQ240E,,,,,,,,,,,,
57,MCQ240F,,,,,,,,,,,,
58,MCQ240G,,,,,,,,,,,,
59,MCQ240H,,,,,,,,,,,,
60,MCQ240I,,,,,,,,,,,,
61,MCQ240J,,,,,,,,,,,,
62,MCQ240K,,,,,,,,,,,,
63,MCQ240L,,,,,,,,,,,,
64,MCQ240M,,,,,,,,,,,,
65,MCQ240N,,,,,,,,,,,,
66,MCQ240O,,,,,,,,,,,,
67,MCQ240P,,,,,,,,,,,,
68,MCQ240Q,,,,,,,,,,,,
69,MCQ240R,,,,,,,,,,,,
70,MCQ240S,,,,,,,,,,,,
71,MCQ240T,,,,,,,,,,,,
72,MCQ240U,,,,,,,,,,,,
73,MCQ240V,,,,,,,,,,,,
74,MCQ240W,,,,,,,,,,,,
75,MCQ240X,,,,,,,,,,,,
76,MCQ240Y,,,,,,,,,,,,
77,MCQ240Z,,,,,,,,,,,,
78,MCQ300A,,,,,,,,,,,,
79,MCQ300B,,,,,,,,,,,,
80,MCQ300C,,,,,,,,,,,,
