,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,SXQ020,,,,,,,,,,,,
2,SXD030,,,,,,,,,,,,
3,SXQ100,,,,,,,,,,,,
4,SXQ120,,,,,,,,,,,,
5,SXQ130,,,,,,,,,,,,
6,SXQ150,,,,,,,,,,,,
7,SXQ170,,,,,,,,,,,,
8,SXQ190,,,,,,,,,,,,
9,SXQ200,,,,,,,,,,,,
10,SXQ220,,,,,,,,,,,,
11,SXD230,,,,,,,,,,,,
12,SXD240,,,,,,,,,,,,
13,SXQ250,,,,,,,,,,,,
14,SXQ260,,,,,,,,,,,,
15,SXQ265,,,,,,,,,,,,
16,SXQ270,,,,,,,,,,,,
17,SXQ272,,,,,,,,,,,,
18,SXQ280,,,,,,,,,,,,
19,SXQ292,,,,,,,,,,,,
20,SXQ294,,,,,,,,,,,,
