,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,OCD150,,,,,,,,,,,,
2,OCQ180,,,,,,,,,,,,
3,OCQ200,,,,,,,,,,,,
4,OCQ210,,,,,,,,,,,,
5,OCD231,,,,,,,,,,,,
6,OCD241,,,,,,,,,,,,
7,OCQ260,,,,,,,,,,,,
8,OCQ265,,,,,,,,,,,,
9,OCD270,,,,,,,,,,,,
10,OCQ290G,,,,,,,,,,,,
11,OCQ290Q,,,,,,,,,,,,
12,OCQ370,,,,,,,,,,,,
13,OCQ380,,,,,,,,,,,,
14,OCD390G,,,,,,,,,,,,
15,OCD392,,,,,,,,,,,,
16,OCD395,,,,,,,,,,,,
