,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,BPQ020,,,,,,,,,,,,
2,BPQ030,,,,,,,,,,,,
3,BPQ040A,,,,,,,,,,,,
4,BPQ050A,,,,,,,,,,,,
5,BPQ055,,,,,,,,,,,,
6,BPQ060,,,,,,,,,,,,
7,BPQ070,,,,,,,,,,,,
8,BPQ080,,,,,,,,,,,,
9,BPQ090A,,,,,,,,,,,,
10,BPQ090B,,,,,,,,,,,,
11,BPQ090C,,,,,,,,,,,,
12,BPQ090D,,,,,,,,,,,,
13,BPQ095,,,,,,,,,,,,
14,BPQ100A,,,,,,,,,,,,
15,BPQ100B,,,,,,,,,,,,
16,BPQ100C,,,,,,,,,,,,
17,BPQ100D,,,,,,,,,,,,
