,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,OHQ030,,,,,,,,,,,,
2,OHQ033,,,,,,,,,,,,
3,OHQ770,,,,,,,,,,,,
4,OHQ780A,,,,,,,,,,,,
5,OHQ780B,,,,,,,,,,,,
6,OHQ780C,,,,,,,,,,,,
7,OHQ780D,,,,,,,,,,,,
8,OHQ780E,,,,,,,,,,,,
9,OHQ780F,,,,,,,,,,,,
10,OHQ780G,,,,,,,,,,,,
11,OHQ780H,,,,,,,,,,,,
12,OHQ780I,,,,,,,,,,,,
13,OHQ780J,,,,,,,,,,,,
14,OHQ780K,,,,,,,,,,,,
15,OHQ550,,,,,,,,,,,,
16,OHQ555G,,,,,,,,,,,,
17,OHQ555Q,,,,,,,,,,,,
18,OHQ555U,,,,,,,,,,,,
19,OHQ560G,,,,,,,,,,,,
20,OHQ560Q,,,,,,,,,,,,
21,OHQ560U,,,,,,,,,,,,
22,OHQ565,,,,,,,,,,,,
23,OHQ570Q,,,,,,,,,,,,
24,OHQ570U,,,,,,,,,,,,
25,OHQ575G,,,,,,,,,,,,
26,OHQ575Q,,,,,,,,,,,,
27,OHQ575U,,,,,,,,,,,,
28,OHQ580,,,,,,,,,,,,
29,OHQ585Q,,,,,,,,,,,,
30,OHQ585U,,,,,,,,,,,,
31,OHQ590G,,,,,,,,,,,,
32,OHQ590Q,,,,,,,,,,,,
33,OHQ590U,,,,,,,,,,,,
34,OHQ592,,,,,,,,,,,,
35,OHQ610,,,,,,,,,,,,
36,OHQ612,,,,,,,,,,,,
37,OHQ614,,,,,,,,,,,,
38,OHQ616,,,,,,,,,,,,
39,OHQ620,,,,,,,,,,,,
40,OHQ640,,,,,,,,,,,,
41,OHQ680,,,,,,,,,,,,
42,OHQ835,,,,,,,,,,,,
43,OHQ845,,,,,,,,,,,,
44,OHQ846,,,,,,,,,,,,
45,OHQ848G,,,,,,,,,,,,
46,OHQ848Q,,,,,,,,,,,,
47,OHQ849,,,,,,,,,,,,
48,OHQ850,,,,,,,,,,,,
49,OHQ855,,,,,,,,,,,,
50,OHQ860,,,,,,,,,,,,
51,OHQ865,,,,,,,,,,,,
52,OHQ870,,,,,,,,,,,,
53,OHQ875,,,,,,,,,,,,
54,OHQ880,,,,,,,,,,,,
55,OHQ885,,,,,,,,,,,,
56,OHQ890,,,,,,,,,,,,
57,OHQ895,,,,,,,,,,,,
58,OHQ900,,,,,,,,,,,,
