Title,Description,Module_Name,Document,Link
Interview,,Interviewer Procedure Manual,[PDF - 12 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/Intrvwr_Proc_Manual.pdf
Interview,,MEC Interviewers Procedures Manual,[PDF - 13.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/MEC_Interviewer_2013.pdf
Laboratory,,Laboratory Procedures Manual,[PDF - 9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/2013_MEC_Laboratory_Procedures_Manual.pdf
Examination,,24-Hour Urine Study,[PDF - 9.65 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/24_Hour_Urine_Study_Procedures_Manual.pdf
Examination,,Anthropometry (Body Measures),[PDF - 5.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/2013_Anthropometry.pdf
Examination,,Dietary Interviewer - In-Person,[PDF - 7.7 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/mec_in_person_dietary_procedures_manual_jan_2014.pdf
Examination,,Dietary Interviewer - Phone Follow-Up,[PDF - 6.8 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/Phone_Follow-up_Dietary_Interviewers_Manual.pdf
Examination,,Dual-Energy X-ray Absorptiometry (DEXA) Scan,[PDF - 5.7 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/2013_Body_Composition_DXA.pdf
Examination,,Home Urine,[PDF - 3.9 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/Home_Urine_Collection.pdf
Examination,,Muscle Strength,[PDF - 4.3 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/Muscle_Strength_2013.pdf
Examination,,Oral Glucose Tolerance,[PDF - 944 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/OGTT_Manual_2013.pdf
Examination,,Oral Health (Dental Examiner),[PDF - 4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/Oral_Health_Examiners.pdf
Examination,,Oral Health (Dental Recorder),[PDF - 1.36 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/2013-14_Oral_Health_Recorders_Procedures_Manual.pdf
Examination,,Physical Activity Monitor (PAM),[PDF - 1.33 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/2014-Physicial-Activity-Monitor-Procedures-Manual-508.pdf
Examination,,Physician Examination,[PDF - 5.6 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/Phys_Exam_Manual_2013.pdf
Examination,,Taste and Smell,[PDF - 3.4 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/manuals/Taste_Smell.pdf
