Lab Method Name,Documentation,Release Date,PDF Link
25-Hydroxyvitamin D,[PDF - 1.13 MB],May 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/VID_H_MET.pdf
Acrylamide and Glycidamide,[PDF - 2.55 MB],December 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/AMDGYD_ETHOX_H_MET.pdf
Alanine Amino Transferase (ALT),[PDF - 118 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_ALANINE%20AMINOTRANSFERASE.pdf
Albumin,[PDF - 130 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_ALBUMIN.pdf
"Albumin, 24-hour first collection",[PDF - 676 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/U1KM_H_R_MET_ALBUMIN.pdf
"Albumin, 24-hour second collection",[PDF - 681 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/U2KM_H_R_MET_ALBUMIN.pdf
Alkaline Phosphatase (ALP),[PDF - 114 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_ALKALINE_PHOSPHATASE.pdf
Apolipoprotein B,[PDF - 619 KB],February 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/ApoB_H_MET.pdf
Aromatic Amines,[PDF - 2.52 MB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/AA-AAS-H-MET-508.pdf
Aspartate Aminotransferase (AST),[PDF - 117 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_ASPARTATE_AMINOTRANSFERASE.pdf
"BFRs, PCBs and PPs in Human Serum or Plasma",[PDF - 2.73 MB],May 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/PCBPOL_H_MET.pdf
Bicarbonate (HCO3),[PDF - 131 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_BICARBONATE.pdf
Bilirubin,[PDF - 119 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_BILIRUBIN.pdf
Blood Urea Nitrogen (BUN),[PDF - 108 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_BLOOD_UREA_NITROGEN.pdf
"Cadmium, Lead, Manganese, Mercury, and Selenium",[PDF - 1.41 MB],January 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/PbCd_H_MET.pdf
Caffeine - 24-Hour Urine - First Collection,[PDF - 2.32 MB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/U1CF-H-R-MET-508.pdf
Caffeine - 24-Hour Urine - Second Collection,[PDF - 2.28 MB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/U2CF-H-R-MET-508.pdf
Caffeine and Caffeine Metabolites - Urine,[PDF - 2.46 MB],June 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/CAFE-H-MET-508.pdf
Calcium,[PDF - 728 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HUKM_H_R_MET_URINE_CALCIUM.pdf
Chlamydia trachomatis,[PDF - 143 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/CHLMDA_H_MET_CHLMYDIA.pdf
"Chlamydia trachomatis, Youth",[PDF - 162 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/CHLM_H_R_MET_CHLAMYDIA.pdf
Chloride,[PDF - 116 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_CHLORIDE.pdf
Cholesterol,[PDF - 122 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_TOTAL_CHOLESTEROL.pdf
Complete Blood Count with 5-Part Differential,[PDF - 8.34 MB],July 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/CBC_H_MET_COMPLETE_BLOOD_COUNT.pdf
"Copper, Selenium and Zinc",[PDF - 1.19 MB],January 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/CUSEZN_H_met.pdf
Cotinine and Hydroxycotinine,[PDF - 1.19 MB],October 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/cot_h_met.pdf
Creatine kinase (CPK),[PDF - 117 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_CREATINE_KINASE.pdf
Creatinine,[PDF - 134 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_CREATININE.pdf
"Creatinine, 24-hour first collection",[PDF - 693 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/U1KM_H_R_MET_CREATININE.pdf
"Creatinine, 24-hour second collection",[PDF - 692 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/U2KM_H_R_MET_CREATININE.pdf
Eight monohydroxy-polycyclic aromatic hydrocarbons,[PDF - 1.29 MB],December 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/PAH_H_MET_Aromatic_Hydrocarbons.pdf
Endomysial Antibody Assay (EMA),[PDF - 143 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TGEMA_H_MET_EMA.pdf
Fasting Glucose in Plasma,[PDF - 725 KB],Updated April 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/GLU_H_MET.pdf
Fatty Acids,[PDF - 8.14 MB],March 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/FAS-H-MET-508.pdf
Fluoride in Water,[PDF - 612 KB],August 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/fldew_h_met.pdf
"Fluoride, Ionic",[PDF - 689 KB],August 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/fldep_h_met.pdf
"Fluoride, ionic, Plasma",[PDF - 181 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/FLDEP_H_MET_FLUORIDE_PLASMA.pdf
"Fluoride, ionic, Water",[PDF - 164 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/FLDEW_H_MET_FLUORIDE_WATER.pdf
"Fluoride, Urine",[PDF - 2.93 MB],February 2023,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/U1FL-U2FL-H-R-MET-508.pdf
Folate Vitamers,[PDF - 1.46 MB],February 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/FOLFMS_H_MET.pdf
Formaldehyde,[PDF - 1.06 MB],March 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/FORMAL-FORMAS-H-MET-508.pdf
Gamma-Glutamyl Transferase (GGT),[PDF - 116 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_GAMMA_GLUTAMYL_TRANSFERASE.pdf
Glucose,[PDF - 106 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_GLUCOSE.pdf
Glycohemoglobin,[PDF - 538 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/GHB_H_MET_GLYCOHEMOGLOBIN.pdf
HDL - Cholesterol - COBAS,[PDF - 657 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HDL_H_MET_COBAS.pdf
HDL - Cholesterol - MODP,[PDF - 646 KB],March 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HDL_H_MET_MODP.pdf
Hepatitis A Antibody,[PDF - 103 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HEPA_H_MET_HEPATITIS%20A%20ANTIBODY.pdf
Hepatitis B Core Antibody,[PDF - 135 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HEPBD_H_Hepatitis%20B%20core%20antibody_met.pdf
Hepatitis B Surface Antibody (anti-HBS),[PDF - 154 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HEPB_S_H_MET_HEPATITIS_B_SURFACE_ANTIBODY.pdf
Hepatitis B Surface Antigen (HBsAg),[PDF - 302 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HEPBD_H_Hepatitis%20B%20surface%20antigen_met.pdf
Hepatitis C Antibody / Hepatitis C Confirmatory Test (Anti-HCV),[PDF - 821 KB],January 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/SSHEPC_H_MET.pdf
Hepatitis C Genotype,[PDF - 229 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HEPC_H_met_Hepatitis_C_Genotype.pdf
Hepatitis C Virus RNA,[PDF - 170 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HEPC_H_met_Hepatitis_C_virus_RNA.pdf
Hepatitis D Antibody,[PDF - 81 KB ],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HEPBD_H_Hepatitis%20D%20antibody_met.pdf
Hepatitis E IgG Antibody,[PDF - 286 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HEPE_H_MET_HEPATITIS%20E%20IgG%20ANTIBODY.pdf
Hepatitis E IgM Antibody,[PDF - 274 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HEPE_H_MET_HEPATITIS%20E%20IgM%20ANTIBODY.pdf
Herpes Simplex Virus Type 1 & 2,[PDF - 98 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HSV_H_MET_HERPES_1_2.pdf
"Herpes Simplex Virus Type 1 & 2, Youth",[PDF - 95 KB ],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HSV_H_R_MET_HERPES.pdf
HIV Antibody / HIV Western Blot Confirmatory Test,[PDF - 146 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HIV_H_MET_EIA_WB.pdf
HPLC API Tandem Mass Spectrometry,[PDF - 1.79 MB],September 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HCAA_H_MET.pdf
HPV Penile Swab Linear Array,[PDF - 248 KB],Updated November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HPVP_H_HPVP_H_R_MET.pdf
HPV Vaginal Swab Cobas High Risk,[PDF - 128 KB],December 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HPVSWR_H_MET_COBAS.pdf
HPV Vaginal Swab Linear Array,[PDF - 202 KB],December 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HPVSWR_H_MET_LA.pdf
Human Papillomavirus - Oral Rinse,[PDF - 729 KB],October 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/ORHPV_H_OHPV_R_MET.pdf
"Human Papillomavirus (HPV) 6,11,16,18,31,33,45,52 and 58 Antibodies",[PDF - 2.86 MB],Updated September 2024,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HPVN-H-R-MET-508.pdf
"Inorganic Mercury, Methyl Mercury, Ethyl Mercury",[PDF - 1.16 MB],January 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/IHgEM_H_MET.pdf
Insulin,[PDF - 850 KB],April 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/INS_H_MET_INSULIN.pdf
Iodine and Mercury,[PDF - 1.24 MB],January 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/UHG_UIO_URIO_H_MET.pdf
Iron,[PDF - 122 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_IRON.pdf
Lactate Dehydrogenase,[PDF - 113 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_LACTATE%20DEHYDROGENASE.pdf
Magnesium,[PDF - 734 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HUKM_H_R_MET_URINE_MAGNESIUM.pdf
Methylmalonic Acid,[PDF - 978 KB],October 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/MMA_H_MET.pdf
"N,N-diethyl-3-methylbenzamide, N,N-diethyl-3-hydroxymethylbenzamide, and 3-diethyl-carbamoyl benzoic acid",[PDF - 905 KB],March 2017,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/DEET_H_MET.pdf
Oral Glucose Tolerance Test,[PDF - 723 KB],Updated April 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/OGTT_H_MET.pdf
Oxalate,[PDF - 742 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HUKM_H_R_MET_URINE_OXALATE.pdf
Perfluoroalkyl and Polyfluoroalkyl Substances,[PDF - 1.3 MB],July 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/PFAS_H_MET.pdf
Personal Care and Consumer Product Chemicals and Metabolites,[PDF - 1.51 MB],Updated September 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/EPHPP_H_MET.pdf
Pesticides - Organochlorine Pesticides,[PDF - 1.76 MB],May 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/PSTPOL_H_MET.pdf
Phosphorus,[PDF - 119 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_PHOSPHORUS.pdf
"Phosphorus, home urine collection",[PDF - 735 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HUKM_H_R_MET_URINE_PHOSPHORUS.pdf
Phthalates and Phthalate Alternative Metabolites,[PDF - 1.61 MB],December 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/PHTHTE_H_MET_Phthalates.pdf
Phytoestrogen - Urine,[PDF - 2.39 MB],October 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/U1PT_U2PT_H_R_MET.pdf
Polybrominated diphenyl ethers (PBDEs),[PDF - 2.05 MB],May 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BFRPOL_H_MET.pdf
Potassium,[PDF - 119 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_POTASSIUM.pdf
Serum Aldehydes,[PDF - 2.10 MB],April 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/ALD_ALDS_H_MET.pdf
Sex Hormone-Binding Globulin,[PDF - 758 KB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TST_H_MET_Sex_Hormone_Binding_Globulin.pdf
Sodium (Na),[PDF - 127 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_SODIUM.pdf
"Sodium, Potassium, Chloride (Electrolytes)",[PDF - 1.70 MB],August 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/urlt_h_r_met_electrolytes.pdf
"Sodium, Potassium, Chloride, 24-hour first collection",[PDF - 1.02 MB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/U1LT_H_R_MET_LYTES.pdf
"Sodium, Potassium, Chloride, 24-hour second collection",[PDF - 1.02 MB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/U2LT_H_R_MET_LYTES.pdf
"Sodium, Potassium, Chloride, home urine collection",[PDF - 1.03 MB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HULT_H_R_MET_LYTES.pdf
Tissue Transglutaminase Assay (IgA),[PDF - 109 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TGEMA_H_MET_TTG.pdf
Total Calcium,[PDF - 111 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_TOTAL_CALCIUM.pdf
Total Cholesterol - COBAS,[PDF - 654 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TCHOL_H_MET_COBAS.pdf
Total Cholesterol - MODP,[PDF - 646 KB],March 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TCHOL_H_MET_MODP.pdf
Total Estradiol and Total Testosterone,[PDF - 1.64 MB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TST_H_MET_Total_Estradiol_and_Total_Testosterone.pdf
Total Protein,[PDF - 129 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_TOTAL_PROTEIN.pdf
Total Testosterone,[PDF - 1.08 MB],November 2018,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TST_H_MET_Total Testosterone.pdf
Trichomonas vaginalis,[PDF - 129 KB],December 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TRICH_H_MET_TRICHOMONAS.pdf
Triglycerides,[PDF - 113 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_TRIGLYCERIDES.pdf
Triglycerides - COBAS,[PDF - 727 KB],March 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TRIGLY_H_MET_COBAS.pdf
Triglycerides - MODP,[PDF - 653 KB],March 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TRIGLY_H_MET_MODP.pdf
TSNA,[PDF - 1.53 MB],April 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/TSNA_H_MET.pdf
UPHOPM,[PDF - 1.39 MB],May 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/UPHOPM-H-MET-508.pdf
Urea Nitrogen,[PDF - 726 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HUKM_H_R_MET_URINE_UREANITROGEN.pdf
Uric Acid,[PDF - 122 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/BIOPRO_H_MET_URIC_ACID.pdf
Urinary Albumin,[PDF - 220 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/ALB_CR_H_MET_ALBUMIN.pdf
"Urinary Albumin, home urine collection",[PDF - 731 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HUKM_H_R_MET_ALBUMIN.pdf
Urinary Arsenic Speciation,[PDF - 1.16 MB],January 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/UAS-UASS-H-MET-508.pdf
Urinary Cotinine and Hydroxycotinine,[PDF - 1.22 MB],May 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/UCOT_H_UCOTS_H_Urinary_Cotinine_and_Hydroxycotinine_MET.pdf
Urinary Cotinine and Hydroxycotinine,[PDF - 1.21 MB],May 2019,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/UCOT_I_UCOTS_I_Urinary_Cotinine_and_Hydroxycotinine_MET.pdf
Urinary Creatinine,[PDF - 228 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/ALB_CR_H_MET_URINE_CREATINE.pdf
"Urinary Creatinine, home urine collection",[PDF - 731 KB],October 2015,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/HUKM_H_R_MET_CREATININE.pdf
Urinary Metals and Total Arsenic,[PDF - 1.74 MB],January 2016,https://wwwn.cdc.gov/nchs/data/nhanes/public/2013/labmethods/UM_UMS_UTAS_UTASS_H_MET.pdf
