"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"OHXPRL_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 13 YEARS - 150 YEARS",NA,NA
"OHXPRL_C","OHAEXSTS","OHAEXSTS","Overall Oral Health Exam Status","Overall Oral Health Exam Status","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""5050"", ""1194"", ""474"", ""0""]; Cumulative=[""5050"", ""6244"", ""6718"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHASCST4","OHASCST4","Periodontal Status Code","Periodontal Status Code","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""5051"", ""35"", ""1632"", ""0""]; Cumulative=[""5051"", ""5086"", ""6718"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD18CJM","OHD18CJM","LOA: mid-facial #18 FGM/CEJ","Loss of Attachment: Lower left 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1938"", ""567"", ""4213""]; Cumulative=[""1938"", ""2505"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD18PCM","OHD18PCM","LOA: mid-facial #18 PD","Loss of Attachment: Lower left 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1938"", ""567"", ""4213""]; Cumulative=[""1938"", ""2505"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD18LAM","OHD18LAM","LOA: mid-facial #18 calculated LA","Loss of Attachment: Lower left 2nd molar (2M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1938"", ""567"", ""4213""]; Cumulative=[""1938"", ""2505"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD18CJS","OHD18CJS","LOA: mesial #18 FGM/CEJ","Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-4 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1913"", ""592"", ""4213""]; Cumulative=[""1913"", ""2505"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD18PCS","OHD18PCS","LOA: mesial #18 PD","Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1913"", ""592"", ""4213""]; Cumulative=[""1913"", ""2505"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD18LAS","OHD18LAS","LOA: mesial #18 calculated LA","Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1913"", ""592"", ""4213""]; Cumulative=[""1913"", ""2505"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD18CJD","OHD18CJD","LOA: distal #18 FGM/CEJ","Loss of Attachment: Lower left 2nd molar (2M) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1921"", ""584"", ""4213""]; Cumulative=[""1921"", ""2505"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD18PCD","OHD18PCD","LOA: distal #18 PD","Loss of Attachment: Lower left 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1921"", ""584"", ""4213""]; Cumulative=[""1921"", ""2505"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRL_C","OHD18LAD","OHD18LAD","LOA: distal #18 calculated LA","Loss of Attachment: Lower left 2nd molar (2M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1921"", ""584"", ""4213""]; Cumulative=[""1921"", ""2505"", ""6718""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
