"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXT9_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT9_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT9_H","DXXT9CC","DXXT9CC","T9 fracture invalidity code","T9 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3292"", ""3"", ""12"", ""0"", ""0"", ""23"", ""378""]; Cumulative=[""3292"", ""3295"", ""3307"", ""3307"", ""3307"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT9_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""80 to 307.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""149.6 to 784.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""5"", "".""]; Value.Description=[""5"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""T9"", ""< blank >""]; Value.Description=[""T9"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""44 to 75.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""35.4 to 72.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""38.8 to 70.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.6 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXBICRT","DXXBICRT","Amount of biconcave","Amount of biconcave","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXCRURT","DXXCRURT","Amount of UCSF crush","Amount of UCSF crush","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.8 to 1.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXWDGDE","DXXWDGDE","Percentage of wedge deformity","Percentage of wedge deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.086 to 0.352"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXBICDE","DXXBICDE","Percentage of biconcave deformity","Percentage of biconcave deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.05 to 0.272"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXCRUDE","DXXCRUDE","Percentage of UCSF crush deformity","Percentage of UCSF crush deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""."", ""-0.203 to 0.227""]; Value.Description=[""Missing"", ""Range of Values""]; Count=[""415"", ""3293""]; Cumulative=[""3708"", ""3293""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXSPX","DXXSPX","x-coordinate of superior posterior point","x-coordinate of superior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXSPY","DXXSPY","y-coordinate of superior posterior point","y-coordinate of superior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT9_H","DXXSMX","DXXSMX","x-coordinate of superior mid point","x-coordinate of superior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3293"", ""415""]; Cumulative=[""3293"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
