"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"OHXPER_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 30 YEARS - 150 YEARS",NA,NA
"OHXPER_H","OHX02LAL","OHX02LAL","LOA: Max R(2M) MdL calculated AL(mm)","Loss of Attachment: Upper right 2nd molar (2M) mid- lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2621"", ""1397"", ""651""]; Cumulative=[""2621"", ""4018"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX02LAA","OHX02LAA","LOA: Max R(2M) ML calculated AL(mm)","Loss of Attachment: Upper right 2nd molar (2M) mesio- lingual - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement)(mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 17"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2616"", ""1402"", ""651""]; Cumulative=[""2616"", ""4018"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03CJD","OHX03CJD","LOA: Max R(1M) DF FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-12 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2596"", ""1416"", ""657""]; Cumulative=[""2596"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03CJM","OHX03CJM","LOA: Max R(1M) MdF FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-12 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2599"", ""1413"", ""657""]; Cumulative=[""2599"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03CJS","OHX03CJS","LOA: Max R(1M) MF FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2599"", ""1413"", ""657""]; Cumulative=[""2599"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03CJP","OHX03CJP","LOA: Max R(1M) DL FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-10 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2595"", ""1417"", ""657""]; Cumulative=[""2595"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03CJL","OHX03CJL","LOA: Max R(1M) MdL FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) mid - lingual - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-12 to 1"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2602"", ""1410"", ""657""]; Cumulative=[""2602"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03CJA","OHX03CJA","LOA: Max R(1M) ML FGM-CEJ(mm)","Loss of Attachment: Upper right 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2600"", ""1412"", ""657""]; Cumulative=[""2600"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03PCD","OHX03PCD","LOA: Max R(1M) DF FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2596"", ""1416"", ""657""]; Cumulative=[""2596"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPER_H","OHX03PCM","OHX03PCM","LOA: Max R(1M) MdF FGM-sulcus(mm)","Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 30 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2599"", ""1413"", ""657""]; Cumulative=[""2599"", ""4012"", ""4669""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
