"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXSPN_F","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 8 YEARS - 150 YEARS",NA,NA
"DXXSPN_F","DXASPNST","DXASPNST","Spine scan status","Spine scan status","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Spine scan completed, all vertebrae are valid"", ""Spine scan completed, but one or more vertebrae are invalid"", ""Spine not scanned, pregnancy"", ""Spine not scanned, weight > 300 lbs"", ""Spine not scanned, other reason"", ""Missing""]; Count=[""5679"", ""1522"", ""68"", ""141"", ""775"", ""0""]; Cumulative=[""5679"", ""7201"", ""7269"", ""7410"", ""8185"", ""8185""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_F","DXXOSBCC","DXXOSBCC","Total spine BMD invalidity code","Total spine BMD invalidity code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""Valid data"", ""Invalid data"", ""Missing""]; Count=[""5679"", ""1522"", ""984""]; Cumulative=[""5679"", ""7201"", ""8185""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXXSPN_F","DXXL1BCC","DXXL1BCC","L1 BMD invalidity code","L1 BMD invalidity code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Objects not removed"", ""Non-removable objects such as implants"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""6627"", ""2"", ""15"", ""0"", ""21"", ""3"", ""533"", ""984""]; Cumulative=[""6627"", ""6629"", ""6644"", ""6644"", ""6665"", ""6668"", ""7201"", ""8185""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_F","DXXL2BCC","DXXL2BCC","L2 BMD invalidity code","L2 BMD invalidity code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Objects not removed"", ""Non-removable objects such as implants"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""6650"", ""1"", ""18"", ""0"", ""3"", ""5"", ""524"", ""984""]; Cumulative=[""6650"", ""6651"", ""6669"", ""6669"", ""6672"", ""6677"", ""7201"", ""8185""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_F","DXXL3BCC","DXXL3BCC","L3 BMD invalidity code","L3 BMD invalidity code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Objects not removed"", ""Non-removable objects such as implants"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""6570"", ""0"", ""42"", ""0"", ""3"", ""3"", ""583"", ""984""]; Cumulative=[""6570"", ""6570"", ""6612"", ""6612"", ""6615"", ""6618"", ""7201"", ""8185""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_F","DXXL4BCC","DXXL4BCC","L4 BMD invalidity code","L4 BMD invalidity code","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Objects not removed"", ""Non-removable objects such as implants"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""6336"", ""0"", ""74"", ""0"", ""3"", ""6"", ""782"", ""984""]; Cumulative=[""6336"", ""6336"", ""6410"", ""6410"", ""6413"", ""6419"", ""7201"", ""8185""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXSPN_F","DXXOSBMD","DXXOSBMD","Total spine BMD","Total spine bone mineral density (gm/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.372 to 1.865"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5679"", ""2506""]; Cumulative=[""5679"", ""8185""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_F","DXXOSBMC","DXXOSBMC","Total spine BMC","Total spine bone mineral content (gm)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""12.27 to 149"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5679"", ""2506""]; Cumulative=[""5679"", ""8185""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_F","DXXOSA","DXXOSA","Total spine area","Total spine area (cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""26.68 to 91.35"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""5679"", ""2506""]; Cumulative=[""5679"", ""8185""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_F","DXXL1BMD","DXXL1BMD","L1 BMD","L1 bone mineral density (gm/cm^2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.331 to 1.774"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6627"", ""1558""]; Cumulative=[""6627"", ""8185""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXSPN_F","DXXL1BMC","DXXL1BMC","L1 BMC","L1 bone mineral content (gm)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""2.27 to 31.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6627"", ""1558""]; Cumulative=[""6627"", ""8185""]; Skip.to.Item=[""NA"", ""NA""]"
