"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"BPX_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"BPX_I","PEASCCT1","PEASCCT1","Blood Pressure Comment","Blood Pressure Comment","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Safety exclusion"", ""SP refusal"", ""Time constraints"", ""Other"", ""Missing""]; Count=[""0"", ""12"", ""178"", ""46"", ""9308""]; Cumulative=[""0"", ""12"", ""190"", ""236"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_I","BPXCHR","BPXCHR","60 sec HR (30 sec HR * 2)","60 sec HR (30 sec HR * 2)","Both males and females 0 YEARS - 7 YEARS",NA,"Code.or.Value=[""58 to 190"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1938"", ""7606""]; Cumulative=[""1938"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPAARM","BPAARM","Arm selected","Arm selected:","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Right"", ""Left"", ""Could not obtain"", ""Missing""]; Count=[""7361"", ""36"", ""1"", ""2146""]; Cumulative=[""7361"", ""7397"", ""7398"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_I","BPACSZ","BPACSZ","Coded cuff size","Cuff size (cm) (width X length)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""Infant (6X12)"", ""Child (9X17)"", ""Adult (12X22)"", ""Large (15X32)"", ""Thigh (18X35)"", ""Missing""]; Count=[""1"", ""488"", ""2461"", ""3368"", ""1068"", ""2158""]; Cumulative=[""1"", ""489"", ""2950"", ""6318"", ""7386"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_I","BPXPLS","BPXPLS","60 sec. pulse (30 sec. pulse * 2)","60 sec. pulse (30 sec. pulse * 2)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""36 to 142"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7376"", ""2168""]; Cumulative=[""7376"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPXPULS","BPXPULS","Pulse regular or irregular?","Pulse regular or irregular?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Regular"", ""Irregular"", ""Missing""]; Count=[""9113"", ""201"", ""230""]; Cumulative=[""9113"", ""9314"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"BPX_I","BPXPTY","BPXPTY","Pulse type","Pulse type","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Radial"", ""Brachial"", ""Could not obtain"", ""Missing""]; Count=[""7348"", ""28"", ""0"", ""2168""]; Cumulative=[""7348"", ""7376"", ""7376"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_I","BPXML1","BPXML1","MIL: maximum inflation levels (mm Hg)","MIL: maximum inflation levels (mm Hg)","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""110 to 260"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7371"", ""2173""]; Cumulative=[""7371"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPXSY1","BPXSY1","Systolic: Blood pres (1st rdg) mm Hg","Systolic: Blood pressure (first reading) mm Hg","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""72 to 236"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7145"", ""2399""]; Cumulative=[""7145"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPXDI1","BPXDI1","Diastolic: Blood pres (1st rdg) mm Hg","Diastolic: Blood pressure (first reading) mm Hg","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 120"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7145"", ""2399""]; Cumulative=[""7145"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPAEN1","BPAEN1","Enhancement used first reading","Enhancement used first reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""3"", ""7142"", ""0"", ""2399""]; Cumulative=[""3"", ""7145"", ""7145"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_I","BPXSY2","BPXSY2","Systolic: Blood pres (2nd rdg) mm Hg","Systolic: Blood pressure (second reading) mm Hg","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""76 to 238"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7313"", ""2231""]; Cumulative=[""7313"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPXDI2","BPXDI2","Diastolic: Blood pres (2nd rdg) mm Hg","Diastolic: Blood pressure (second reading) mm Hg","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 144"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7313"", ""2231""]; Cumulative=[""7313"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPAEN2","BPAEN2","Enhancement used second reading","Enhancement used second reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""183"", ""7130"", ""0"", ""2231""]; Cumulative=[""183"", ""7313"", ""7313"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_I","BPXSY3","BPXSY3","Systolic: Blood pres (3rd rdg) mm Hg","Systolic: Blood pressure (third reading) mm Hg","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""76 to 226"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7276"", ""2268""]; Cumulative=[""7276"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPXDI3","BPXDI3","Diastolic: Blood pres (3rd rdg) mm Hg","Diastolic: Blood pressure (third reading) mm Hg","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 140"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7276"", ""2268""]; Cumulative=[""7276"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPAEN3","BPAEN3","Enhancement used third reading","Enhancement used third reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""206"", ""7070"", ""0"", ""2268""]; Cumulative=[""206"", ""7276"", ""7276"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"BPX_I","BPXSY4","BPXSY4","Systolic: Blood pres (4th rdg) mm Hg","Systolic: Blood pressure (fourth reading if necessary) mm Hg","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""82 to 212"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""324"", ""9220""]; Cumulative=[""324"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPXDI4","BPXDI4","Diastolic: Blood pres (4th rdg) mm Hg","Diastolic: Blood pressure (fourth reading if necessary) mm Hg","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 132"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""324"", ""9220""]; Cumulative=[""324"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"BPX_I","BPAEN4","BPAEN4","Enhancement used fourth reading","Enhancement used fourth reading","Both males and females 8 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""76"", ""248"", ""0"", ""9220""]; Cumulative=[""76"", ""324"", ""324"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
