"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"LEXAB_C","LEXLPTS1","LEXLPTS1","Left Posterior Tibial SBP 1 (mm Hg)","Left posterior tibial systolic blood pressure 1 (in millimeters of mercury)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""52 to 248"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2348"", ""738""]; Cumulative=[""2348"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_C","LEXLPTS2","LEXLPTS2","Left Posterior Tibial SBP 2 (mm Hg)","Left posterior tibial systolic blood pressure 2 (in millimeters of mercury)","Both males and females 40 YEARS - 59 YEARS",NA,"Code.or.Value=[""65 to 230"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""964"", ""2122""]; Cumulative=[""964"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_C","LEXLPTSM","LEXLPTSM","Left Mean Posterior Tibial SBP (mm Hg)","Left mean posterior tibial systolic blood pressure (in millimeters of mercury)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""52 to 248"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2370"", ""716""]; Cumulative=[""2370"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_C","LEXLABPI","LEXLABPI","Left ABPI","Left ABPI","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.33 to 2.16"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2346"", ""740""]; Cumulative=[""2346"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_C","LEXRPTS1","LEXRPTS1","Right Posterior Tibial SBP 1 (mm Hg)","Right posterior tibial systolic blood pressure 1 (in millimeters of mercury)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""61 to 248"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2347"", ""739""]; Cumulative=[""2347"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_C","LEXRPTS2","LEXRPTS2","Right Posterior Tibial SBP 2 (mm Hg)","Right posterior tibial systolic blood pressure 2 (in millimeters of mercury)","Both males and females 40 YEARS - 59 YEARS",NA,"Code.or.Value=[""76 to 232"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""973"", ""2113""]; Cumulative=[""973"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_C","LEXRPTSM","LEXRPTSM","Right Mean Posterior Tibial SBP (mm Hg)","Right mean posterior tibial systolic blood pressure (in millimeters of mercury)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""61 to 248"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2364"", ""722""]; Cumulative=[""2364"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_C","LEXRABPI","LEXRABPI","Right ABPI","Right ABPI","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.36 to 2.07"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""2339"", ""747""]; Cumulative=[""2339"", ""3086""]; Skip.to.Item=[""NA"", ""NA""]"
"LEXAB_C","LEALPTPD","LEALPTPD","Left PT pulse detected?","Left posterior tibial pulse detected?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""275"", ""54"", ""0"", ""2757""]; Cumulative=[""275"", ""329"", ""329"", ""3086""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_C","LEARPTPD","LEARPTPD","Right PT pulse detected?","Right posterior tibial pulse detected?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""277"", ""53"", ""0"", ""2756""]; Cumulative=[""277"", ""330"", ""330"", ""3086""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_C","LEALAPNC","LEALAPNC","Left ankle SBP > 255 mm Hg?","Left ankle systolic blood pressure > 255 mm Hg?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""43"", ""231"", ""0"", ""2812""]; Cumulative=[""43"", ""274"", ""274"", ""3086""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"LEXAB_C","LEARAPNC","LEARAPNC","Right ankle SBP > 255 mm Hg?","Right ankle systolic blood pressure > 255 mm Hg?","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""8"", "".""]; Value.Description=[""Yes"", ""No"", ""Could not obtain"", ""Missing""]; Count=[""45"", ""231"", ""0"", ""2810""]; Cumulative=[""45"", ""276"", ""276"", ""3086""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
