"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXL2_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXL2_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXL2_H","DXXL2CC","DXXL2CC","L2 fracture invalidity code","L2 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3281"", ""2"", ""24"", ""5"", ""1"", ""17"", ""378""]; Cumulative=[""3281"", ""3283"", ""3307"", ""3312"", ""3313"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXL2_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""134.6 to 363"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""522.7 to 1104.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""10"", "".""]; Value.Description=[""10"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""L2"", ""< blank >""]; Value.Description=[""L2"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3283"", ""425""]; Cumulative=[""3283"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""58.3 to 96.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""46.6 to 93.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""47.3 to 86.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.6 to 1.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXBICRT","DXXBICRT","Amount of biconcave","Amount of biconcave","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXCRURT","DXXCRURT","Amount of UCSF crush","Amount of UCSF crush","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3285"", ""423""]; Cumulative=[""3285"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXWDGDE","DXXWDGDE","Percentage of wedge deformity","Percentage of wedge deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.142 to 0.371"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXBICDE","DXXBICDE","Percentage of biconcave deformity","Percentage of biconcave deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.009 to 0.296"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXCRUDE","DXXCRUDE","Percentage of UCSF crush deformity","Percentage of UCSF crush deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.17 to 0.253"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3285"", ""423""]; Cumulative=[""3285"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXSPX","DXXSPX","x-coordinate of superior posterior point","x-coordinate of superior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXSPY","DXXSPY","y-coordinate of superior posterior point","y-coordinate of superior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXSMX","DXXSMX","x-coordinate of superior mid point","x-coordinate of superior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXSMY","DXXSMY","y-coordinate of superior mid point","y-coordinate of superior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""80.2 to 319.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXSAX","DXXSAX","x-coordinate of superior anterior point","x-coordinate of superior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""488 to 1068.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXSAY","DXXSAY","y-coordinate of superior anterior point","y-coordinate of superior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""125.3 to 356.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXIAX","DXXIAX","x-coordinate of inferior anterior point","x-coordinate of inferior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""487.6 to 1071.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXIAY","DXXIAY","y-coordinate of inferior anterior point","y-coordinate of inferior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""167.6 to 399.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXIMX","DXXIMX","x-coordinate of inferior mid point","x-coordinate of inferior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""479.4 to 1070.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXIMY","DXXIMY","y-coordinate of inferior mid point","y-coordinate of inferior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""176.8 to 408.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXIPX","DXXIPX","x-coordinate of inferior posterior point","x-coordinate of inferior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""548.3 to 1136.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL2_H","DXXIPY","DXXIPY","y-coordinate of inferior posterior point","y-coordinate of inferior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""136.4 to 372.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3286"", ""422""]; Cumulative=[""3286"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
