"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXAAC_H","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXAAC_H","DXDAACST","DXDAACST","Abdominal Aortic Calcification Status","Abdominal Aortic Calcification Status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, L1-L4 are valid"", ""IVA Lateral Spine scan completed, among L1-L4 one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""3140"", ""190"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""3140"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXAAC_H","DXXAACTV","DXXAACTV","AAC total invalidity code","AAC total invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", "".""]; Value.Description=[""Valid data"", ""Invalid data"", ""Missing""]; Count=[""3140"", ""190"", ""378""]; Cumulative=[""3140"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DXXAAC_H","DXXAL1CC","DXXAL1CC","AAC L1 invalidity code","AAC L1 invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3236"", ""4"", ""60"", ""17"", ""1"", ""12"", ""378""]; Cumulative=[""3236"", ""3240"", ""3300"", ""3317"", ""3318"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXAAC_H","DXXAL2CC","DXXAL2CC","AAC L2 invalidity code","AAC L2 invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3210"", ""4"", ""62"", ""40"", ""1"", ""13"", ""378""]; Cumulative=[""3210"", ""3214"", ""3276"", ""3316"", ""3317"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXAAC_H","DXXAL3CC","DXXAL3CC","AAC L3 invalidity code","AAC L3 invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3157"", ""2"", ""78"", ""75"", ""1"", ""17"", ""378""]; Cumulative=[""3157"", ""3159"", ""3237"", ""3312"", ""3313"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXAAC_H","DXXAL4CC","DXXAL4CC","AAC L4 invalidity code","AAC L4 invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3143"", ""2"", ""78"", ""87"", ""1"", ""19"", ""378""]; Cumulative=[""3143"", ""3145"", ""3223"", ""3310"", ""3311"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXAAC_H","DXXAL1","DXXAL1","AAC L1 Posterior score","AAC L1 Posterior score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3236"", ""472""]; Cumulative=[""3236"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAAC_H","DXXAL1AN","DXXAL1AN","AAC L1 Anterior score","AAC L1 Anterior score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3236"", ""472""]; Cumulative=[""3236"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAAC_H","DXXAL2","DXXAL2","AAC L2 Posterior score","AAC L2 Posterior score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3221"", ""487""]; Cumulative=[""3221"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAAC_H","DXXAL2AN","DXXAL2AN","AAC L2 Anterior score","AAC L2 Anterior score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3210"", ""498""]; Cumulative=[""3210"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXAAC_H","DXXAL3","DXXAL3","AAC L3 Posterior score","AAC L3 Posterior score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3167"", ""541""]; Cumulative=[""3167"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
