"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXT7_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXT7_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT7_H","DXXT7CC","DXXT7CC","T7 fracture invalidity code","T7 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3241"", ""1"", ""29"", ""1"", ""0"", ""58"", ""378""]; Cumulative=[""3241"", ""3242"", ""3271"", ""3272"", ""3272"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXT7_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""75.2 to 259"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""102.8 to 654.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""3"", "".""]; Value.Description=[""3"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""T7"", ""< blank >""]; Value.Description=[""T7"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""26.1 to 72.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""13.9 to 67.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""18.4 to 68.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.5 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXBICRT","DXXBICRT","Amount of biconcave","Amount of biconcave","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXCRURT","DXXCRURT","Amount of UCSF crush","Amount of UCSF crush","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.5 to 1.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXWDGDE","DXXWDGDE","Percentage of wedge deformity","Percentage of wedge deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.042 to 0.467"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXBICDE","DXXBICDE","Percentage of biconcave deformity","Percentage of biconcave deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.023 to 0.293"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXCRUDE","DXXCRUDE","Percentage of UCSF crush deformity","Percentage of UCSF crush deformity","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""-0.295 to 0.496"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXSPX","DXXSPX","x-coordinate of superior posterior point","x-coordinate of superior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXSPY","DXXSPY","y-coordinate of superior posterior point","y-coordinate of superior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXSMX","DXXSMX","x-coordinate of superior mid point","x-coordinate of superior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXSMY","DXXSMY","y-coordinate of superior mid point","y-coordinate of superior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""38.5 to 226.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXSAX","DXXSAX","x-coordinate of superior anterior point","x-coordinate of superior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""72.7 to 612.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXSAY","DXXSAY","y-coordinate of superior anterior point","y-coordinate of superior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""72.8 to 260.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXIAX","DXXIAX","x-coordinate of inferior anterior point","x-coordinate of inferior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""77.3 to 629.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXIAY","DXXIAY","y-coordinate of inferior anterior point","y-coordinate of inferior anterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""105.4 to 294.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXIMX","DXXIMX","x-coordinate of inferior mid point","x-coordinate of inferior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""77 to 640.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXIMY","DXXIMY","y-coordinate of inferior mid point","y-coordinate of inferior mid point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""106.7 to 290.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXIPX","DXXIPX","x-coordinate of inferior posterior point","x-coordinate of inferior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""121.5 to 692.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXT7_H","DXXIPY","DXXIPY","y-coordinate of inferior posterior point","y-coordinate of inferior posterior point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""72.4 to 255.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3242"", ""466""]; Cumulative=[""3242"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
