"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXXL4_H","SEQN","SEQN","Sequence number","Sequence number","Both males and females 40 YEARS - 150 YEARS",NA,NA
"DXXL4_H","DXDLSPST","DXDLSPST","IVA lateral spine scan status","IVA lateral spine scan status","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", "".""]; Value.Description=[""IVA Lateral Spine scan completed, all vertebra are valid"", ""IVA Lateral Spine scan completed, but one or more vertebrae are invalid"", ""IVA Lateral Spine not scanned, pregnancy"", ""IVA Lateral Spine not scanned, weight > 450 lbs"", ""IVA Lateral Spine not scanned, other reason"", ""Missing""]; Count=[""2875"", ""455"", ""3"", ""1"", ""374"", ""0""]; Cumulative=[""2875"", ""3330"", ""3333"", ""3334"", ""3708"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXL4_H","DXXL4CC","DXXL4CC","L4 fracture invalidity code","L4 fracture invalidity code","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Excessive x-ray noise due to morbid obesity"", ""Insufficient scan area"", ""Movement"", ""Other (degenerative diseases, spinal fusion, fractures)"", ""Missing""]; Count=[""3241"", ""22"", ""27"", ""12"", ""1"", ""27"", ""378""]; Cumulative=[""3241"", ""3263"", ""3290"", ""3302"", ""3303"", ""3330"", ""3708""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXXL4_H","DXXINITX","DXXINITX","x-coordinate used as center point","x-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""143.7 to 362.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3251"", ""457""]; Cumulative=[""3251"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL4_H","DXXINITY","DXXINITY","y-coordinate used as center point","y-coordinate used as center point","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""699.3 to 1233.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3251"", ""457""]; Cumulative=[""3251"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL4_H","DXXANIDX","DXXANIDX","Number of vertebra","Num of the vertebra from 0 (T4) to 12 (L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""12"", "".""]; Value.Description=[""12"", ""Missing""]; Count=[""3251"", ""457""]; Cumulative=[""3251"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL4_H","DXXLABEL","DXXLABEL","Label of the vertebra (T4 to L4)","Label of the vertebra (T4 to L4)","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""L4"", ""< blank >""]; Value.Description=[""L4"", ""Missing""]; Count=[""3251"", ""457""]; Cumulative=[""3251"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL4_H","DXXSQSCR","DXXSQSCR","Genant SQ score","Genant semi-quantitative score","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3244"", ""464""]; Cumulative=[""3244"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL4_H","DXXPOSTH","DXXPOSTH","Posterior height of the vertebra","Posterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""42.8 to 92.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3251"", ""457""]; Cumulative=[""3251"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL4_H","DXXANTEH","DXXANTEH","Anterior height of the vertebra","Anterior height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""35.5 to 98.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3251"", ""457""]; Cumulative=[""3251"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL4_H","DXXMIDH","DXXMIDH","Middle height of the vertebra","Middle height of the vertebra","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""28.4 to 86.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3251"", ""457""]; Cumulative=[""3251"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
"DXXL4_H","DXXWDGRT","DXXWDGRT","Amount of wedge","Amount of wedge","Both males and females 40 YEARS - 150 YEARS",NA,"Code.or.Value=[""0.7 to 1.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3251"", ""457""]; Cumulative=[""3251"", ""3708""]; Skip.to.Item=[""NA"", ""NA""]"
