"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"OHXPRU_B","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 13 YEARS - 150 YEARS",NA,NA
"OHXPRU_B","OHAEXSTS","OHAEXSTS","Overall Oral Health Exam Status","Overall Oral Health Exam Status","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""5488"", ""1147"", ""495"", ""0""]; Cumulative=[""5488"", ""6635"", ""7130"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHASCST4","OHASCST4","Periodontal Status Code","Periodontal Status Code","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Complete"", ""Partial"", ""Not done"", ""Missing""]; Count=[""5587"", ""45"", ""1498"", ""0""]; Cumulative=[""5587"", ""5632"", ""7130"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD02CJM","OHD02CJM","LOA: mid-facial #2 FGM/CEJ","Loss of Attachment: Upper right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2308"", ""496"", ""4326""]; Cumulative=[""2308"", ""2804"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD02PCM","OHD02PCM","LOA: mid-facial #2 PD","Loss of Attachment: Upper right 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2308"", ""496"", ""4326""]; Cumulative=[""2308"", ""2804"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD02LAM","OHD02LAM","LOA: mid-facial #2 calculated LA","Loss of Attachment: Upper right 2nd molar (2M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2308"", ""496"", ""4326""]; Cumulative=[""2308"", ""2804"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD02CJS","OHD02CJS","LOA: mesial #2 FGM/CEJ","Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2317"", ""487"", ""4326""]; Cumulative=[""2317"", ""2804"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD02PCS","OHD02PCS","LOA: mesial #2 PD","Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2317"", ""487"", ""4326""]; Cumulative=[""2317"", ""2804"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD02LAS","OHD02LAS","LOA: mesial #2 calculated LA","Loss of Attachment: Upper right 2nd molar (2M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2317"", ""487"", ""4326""]; Cumulative=[""2317"", ""2804"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD02CJD","OHD02CJD","LOA: distal #2 FGM/CEJ","Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2305"", ""499"", ""4326""]; Cumulative=[""2305"", ""2804"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD02PCD","OHD02PCD","LOA: distal #2 PD","Loss of Attachment: Upper right 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2305"", ""499"", ""4326""]; Cumulative=[""2305"", ""2804"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD02LAD","OHD02LAD","LOA: distal #2 calculated LA","Loss of Attachment: Upper right 2nd molar (2M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2305"", ""499"", ""4326""]; Cumulative=[""2305"", ""2804"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD03CJM","OHD03CJM","LOA:mid-facial #3 FGM/CEJ","Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-10 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2311"", ""491"", ""4328""]; Cumulative=[""2311"", ""2802"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD03PCM","OHD03PCM","LOA: mid-facial #3 PD","Loss of Attachment: Upper right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2311"", ""491"", ""4328""]; Cumulative=[""2311"", ""2802"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD03LAM","OHD03LAM","LOA: mid-facial #3 calculated LA","Loss of Attachment: Upper right 1st molar (1M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2311"", ""491"", ""4328""]; Cumulative=[""2311"", ""2802"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD03CJS","OHD03CJS","LOA: mesial #3 FGM/CEJ","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2326"", ""476"", ""4328""]; Cumulative=[""2326"", ""2802"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD03PCS","OHD03PCS","LOA: mesial #3 PD","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2326"", ""476"", ""4328""]; Cumulative=[""2326"", ""2802"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD03LAS","OHD03LAS","LOA: mesial #3 calculated LA","Loss of Attachment: Upper right 1st molar (1M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2326"", ""476"", ""4328""]; Cumulative=[""2326"", ""2802"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD03CJD","OHD03CJD","LOA: distal #3 FGM/CEJ","Loss of Attachment: Upper right 1st molar (1M) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-12 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2327"", ""475"", ""4328""]; Cumulative=[""2327"", ""2802"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD03PCD","OHD03PCD","LOA: distal #3 PD","Loss of Attachment: Upper right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2327"", ""475"", ""4328""]; Cumulative=[""2327"", ""2802"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD03LAD","OHD03LAD","LOA: distal #3 calculated LA","Loss of Attachment: Upper right 1st molar (1M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 14"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2327"", ""475"", ""4328""]; Cumulative=[""2327"", ""2802"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD04CJM","OHD04CJM","LOA: mid-facial #4 FGM/CEJ","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2341"", ""460"", ""4329""]; Cumulative=[""2341"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD04PCM","OHD04PCM","LOA: mid-facial #4 PD","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2341"", ""460"", ""4329""]; Cumulative=[""2341"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD04LAM","OHD04LAM","LOA: mid-facial #4 calculated LA","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2341"", ""460"", ""4329""]; Cumulative=[""2341"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD04CJS","OHD04CJS","LOA: mesial #4 FGM/CEJ","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2380"", ""421"", ""4329""]; Cumulative=[""2380"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD04PCS","OHD04PCS","LOA: mesial #4 PD","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2380"", ""421"", ""4329""]; Cumulative=[""2380"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD04LAS","OHD04LAS","LOA: mesial #4 calculated LA","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2380"", ""421"", ""4329""]; Cumulative=[""2380"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD04CJD","OHD04CJD","LOA: distal #4 FGM/CEJ","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2383"", ""418"", ""4329""]; Cumulative=[""2383"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD04PCD","OHD04PCD","LOA: distal #4 PD","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2383"", ""418"", ""4329""]; Cumulative=[""2383"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD04LAD","OHD04LAD","LOA: distal #4 calculated LA","Loss of Attachment: Upper right 2nd bicuspid/2nd primary molar (2B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2383"", ""418"", ""4329""]; Cumulative=[""2383"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD05CJM","OHD05CJM","LOA: mid-facial #5 FGM/CEJ","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2283"", ""518"", ""4329""]; Cumulative=[""2283"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD05PCM","OHD05PCM","LOA: mid-facial #5 PD","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2283"", ""518"", ""4329""]; Cumulative=[""2283"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD05LAM","OHD05LAM","LOA: mid-facial #5 calculated LA","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""2283"", ""518"", ""4329""]; Cumulative=[""2283"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD05CJS","OHD05CJS","LOA: mesial #5 FGM/CEJ","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""-4 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2322"", ""479"", ""4329""]; Cumulative=[""2322"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPRU_B","OHD05PCS","OHD05PCS","LOA: mesial #5 PD","Loss of Attachment: Upper right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 13 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""2322"", ""479"", ""4329""]; Cumulative=[""2322"", ""2801"", ""7130""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
