,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,,,,,,,,,,,,
1,WTDRD1,,,,,,,,,,,,
2,WTDR2D,,,,,,,,,,,,
3,DR2DRSTZ,,,,,,,,,,,,
4,DR2EXMER,,,,,,,,,,,,
5,DRDINT,,,,,,,,,,,,
6,DR2DAY,,,,,,,,,,,,
7,DS2LOC,,,,,,,,,,,,
8,DR2LANG,,,,,,,,,,,,
9,DSDSUPID,,,,,,,,,,,,
10,DS2ANTA,,,,,,,,,,,,
11,DS2MTCH,,,,,,,,,,,,
12,DS2ACTSS,,,,,,,,,,,,
13,DS2IKCAL,,,,,,,,,,,,
14,DS2IPROT,,,,,,,,,,,,
15,DS2ICARB,,,,,,,,,,,,
16,DS2ISUGR,,,,,,,,,,,,
17,DS2IFIBE,,,,,,,,,,,,
18,DS2ITFAT,,,,,,,,,,,,
19,DS2ISFAT,,,,,,,,,,,,
20,DS2IMFAT,,,,,,,,,,,,
21,DS2IPFAT,,,,,,,,,,,,
22,DS2ICHOL,,,,,,,,,,,,
23,DS2ILYCO,,,,,,,,,,,,
24,DS2ILZ,,,,,,,,,,,,
25,DS2IVB1,,,,,,,,,,,,
26,DS2IVB2,,,,,,,,,,,,
27,DS2INIAC,,,,,,,,,,,,
28,DS2IVB6,,,,,,,,,,,,
29,DS2IFA,,,,,,,,,,,,
30,DS2IFDFE,,,,,,,,,,,,
31,DS2ICHL,,,,,,,,,,,,
32,DS2IVB12,,,,,,,,,,,,
33,DS2IVC,,,,,,,,,,,,
34,DS2IVK,,,,,,,,,,,,
35,DS2IVD,,,,,,,,,,,,
36,DS2ICALC,,,,,,,,,,,,
37,DS2IPHOS,,,,,,,,,,,,
38,DS2IMAGN,,,,,,,,,,,,
39,DS2IIRON,,,,,,,,,,,,
40,DS2IZINC,,,,,,,,,,,,
41,DS2ICOPP,,,,,,,,,,,,
42,DS2ISODI,,,,,,,,,,,,
43,DS2IPOTA,,,,,,,,,,,,
44,DS2ISELE,,,,,,,,,,,,
45,DS2ICAFF,,,,,,,,,,,,
