,Column,English_Text,Target,English_Instructions,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,Maturity,Template,wasGeneratedBy
0,SEQN,Respondent sequence number.,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
1,WTDRD1,Dietary day one 2-Year sample weight - Used for 2001-2002 data collection years only,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
2,WTDR4YR,Dietary day one 4-Year sample weight - Used for 1999-2002 data collection years only,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
3,DRDDRSTZ,Dietary recall status,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
4,DRDEXMER,Interviewer ID code,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
5,DRDDAY,Intake day of the week,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
6,DRALANG,The SP/Proxy spoke mostly:,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
7,DRDRESP,Who was the main respondent for the interview?,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
8,DRXTNUMF,Total number of foods reported in the individual foods file,Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
9,DRXTKCAL,Energy (kcal),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
10,DRXTPROT,Protein (gm),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
11,DRXTCARB,Carbohydrate (gm),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
12,DRXTSUGR,Total sugars (gm),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
13,DRXTFIBE,Dietary fiber (gm),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
14,DRXTTFAT,Total fat (gm),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
15,DRXTSFAT,Total saturated fatty acids (gm),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
16,DRXTMFAT,Total monounsaturated fatty acids (gm),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
17,DRXTPFAT,Total polyunsaturated fatty acids (gm),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
18,DRXTCHOL,Cholesterol (mg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
19,DRXTATOC,Vitamin E as alpha-tocopherol (mg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
20,DRXTRET,Retinol (mcg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
21,DRXTVARA,Vitamin A as retinol activity equivalents (mcg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
22,DRXTACAR,Alpha-carotene (mcg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
23,DRXTBCAR,Beta-carotene (mcg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
24,DRXTCRYP,Beta-cryptoxanthin (mcg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
25,DRXTLYCO,Lycopene (mcg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
26,DRXTLZ,Lutein + zeaxanthin (mcg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
27,DRXTVB1,Thiamin (Vitamin B1) (mg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
28,DRXTVB2,Riboflavin (Vitamin B2) (mg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
29,DRXTNIAC,Niacin (mg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
30,DRXTVB6,Vitamin B6 (mg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
31,DRXTFOLA,Total Folate (mcg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
32,DRXTFA,Folic acid (mcg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
33,DRXTFF,Food folate (mcg),Both males and females 0 YEARS - 150 YEARS,,,,,,,,,,,,,
