,Column,Code,Label,Class,Other For
142,DRXIPOTA,0 To 11941,Range Of Values,,
143,DRXIPOTA,.,Missing,,
144,DRXISELE,0 To 838.7,Range Of Values,,
145,DRXISELE,.,Missing,,
146,DRXICAFF,0 To 3197,Range Of Values,,
147,DRXICAFF,.,Missing,,
148,DRXITHEO,0 To 1423,Range Of Values,,
149,DRXITHEO,.,Missing,,
150,DRXIALCO,0 To 538.5,Range Of Values,,
151,DRXIALCO,.,Missing,,
152,DRXIMOIS,0 To 8910.72,Range Of Values,,
153,DRXIMOIS,.,Missing,,
154,DRXIS040,0 To 6.368,Range Of Values,,
155,DRXIS040,.,Missing,,
156,DRXIS060,0 To 3.184,Range Of Values,,
157,DRXIS060,.,Missing,,
158,DRXIS080,0 To 3.72,Range Of Values,,
159,DRXIS080,.,Missing,,
160,DRXIS100,0 To 3.98,Range Of Values,,
161,DRXIS100,.,Missing,,
162,DRXIS120,0 To 17.404,Range Of Values,,
163,DRXIS120,.,Missing,,
164,DRXIS140,0 To 14.63,Range Of Values,,
165,DRXIS140,.,Missing,,
166,DRXIS160,0 To 46.788,Range Of Values,,
167,DRXIS160,.,Missing,,
168,DRXIS180,0 To 23.635,Range Of Values,,
169,DRXIS180,.,Missing,,
170,DRXIM161,0 To 7.334,Range Of Values,,
171,DRXIM161,.,Missing,,
172,DRXIM181,0 To 168.5,Range Of Values,,
173,DRXIM181,.,Missing,,
174,DRXIM201,0 To 17.849,Range Of Values,,
175,DRXIM201,.,Missing,,
176,DRXIM221,0 To 25.281,Range Of Values,,
177,DRXIM221,.,Missing,,
178,DRXIP182,0 To 91.63,Range Of Values,,
179,DRXIP182,.,Missing,,
180,DRXIP183,0 To 8.639,Range Of Values,,
181,DRXIP183,.,Missing,,
182,DRXIP184,0 To 0.485,Range Of Values,,
183,DRXIP184,.,Missing,,
184,DRXIP204,0 To 1.538,Range Of Values,,
185,DRXIP204,.,Missing,,
186,DRXIP205,0 To 4.108,Range Of Values,,
187,DRXIP205,.,Missing,,
188,DRXIP225,0 To 1.456,Range Of Values,,
189,DRXIP225,.,Missing,,
190,DRXIP226,0 To 4.287,Range Of Values,,
191,DRXIP226,.,Missing,,
