,Column,Code,Label,Class,Other For
144,DRXTP184,.,Missing,,
145,DRXTP204,0 To 3.008,Range Of Values,,
146,DRXTP204,.,Missing,,
147,DRXTP205,0 To 4.114,Range Of Values,,
148,DRXTP205,.,Missing,,
149,DRXTP225,0 To 2.427,Range Of Values,,
150,DRXTP225,.,Missing,,
151,DRXTP226,0 To 6.647,Range Of Values,,
152,DRXTP226,.,Missing,,
153,DRD300,1,Much More Than Usual,,
154,DRD300,2,Usual,,
155,DRD300,3,Much Less Than Usual,,
156,DRD300,7,Refused,,
157,DRD300,9,Don'T Know,,
158,DRD300,.,Missing,,
159,DRD320GW,0 To 59472,Range Of Values,,
160,DRD320GW,.,Missing,,
161,DRD330GW,0 To 52864,Range Of Values,,
162,DRD330GW,.,Missing,,
163,DRDCWATR,0 To 2664,Range Of Values,,
164,DRDCWATR,.,Missing,,
165,DBQ095,1,"Ordinary Salt [Includes Regular Iodized Salt, Sea Salt And Seasoning Salts Made With Regular Salt]",,
166,DBQ095,2,Lite Salt,,
167,DBQ095,3,Salt Substitute,,
168,DBQ095,4,Doesn'T Use Or Add Salt Products At The Table,,
169,DBQ095,7,Refused,,
170,DBQ095,9,Don'T Know,,
171,DBQ095,.,Missing,,
172,DBD100,1,Rarely,,
173,DBD100,2,Occasionally,,
174,DBD100,3,Very Often,,
175,DBD100,7,Refused,,
176,DBD100,9,Don'T Know,,
177,DBD100,.,Missing,,
178,DRD340,1,Yes,,
179,DRD340,2,No,,
180,DRD340,7,Refused,,
181,DRD340,9,Don'T Know,,
182,DRD340,.,Missing,,
183,DRD350A,1,Yes,,
184,DRD350A,2,No,,
185,DRD350A,.,Missing,,
186,DRD350AQ,1 To 8,Range Of Values,,
187,DRD350AQ,.,Missing,,
188,DRD350B,1,Yes,,
189,DRD350B,2,No,,
190,DRD350B,.,Missing,,
191,DRD350BQ,1 To 15,Range Of Values,,
192,DRD350BQ,.,Missing,,
193,DRD350C,1,Yes,,
194,DRD350C,2,No,,
195,DRD350C,.,Missing,,
196,DRD350CQ,1 To 20,Range Of Values,,
197,DRD350CQ,.,Missing,,
198,DRD350D,1,Yes,,
199,DRD350D,2,No,,
200,DRD350D,.,Missing,,
201,DRD350DQ,1 To 10,Range Of Values,,
202,DRD350DQ,.,Missing,,
203,DRD350E,1,Yes,,
204,DRD350E,2,No,,
205,DRD350E,.,Missing,,
206,DRD350EQ,1 To 3,Range Of Values,,
207,DRD350EQ,.,Missing,,
208,DRD350F,1,Yes,,
209,DRD350F,2,No,,
210,DRD350F,.,Missing,,
211,DRD350FQ,1 To 7,Range Of Values,,
212,DRD350FQ,.,Missing,,
213,DRD350G,1,Yes,,
214,DRD350G,2,No,,
215,DRD350G,.,Missing,,
216,DRD350GQ,1 To 5,Range Of Values,,
217,DRD350GQ,.,Missing,,
218,DRD350H,1,Yes,,
219,DRD350H,2,No,,
220,DRD350H,.,Missing,,
221,DRD350HQ,1 To 30,Range Of Values,,
222,DRD350HQ,.,Missing,,
223,DRD350I,1,Yes,,
224,DRD350I,2,No,,
225,DRD350I,.,Missing,,
226,DRD350IQ,1 To 5,Range Of Values,,
227,DRD350IQ,.,Missing,,
228,DRD350J,1,Yes,,
229,DRD350J,2,No,,
230,DRD350J,.,Missing,,
231,DRD350JQ,1 To 2,Range Of Values,,
232,DRD350JQ,.,Missing,,
233,DRD350K,1,Yes,,
234,DRD350K,2,No,,
235,DRD350K,.,Missing,,
236,DRD360,1,Yes,,
237,DRD360,2,No,,
238,DRD360,7,Refused,,
239,DRD360,9,Don'T Know,,
240,DRD360,.,Missing,,
241,DRD370A,1,Yes,,
242,DRD370A,2,No,,
243,DRD370A,.,Missing,,
244,DRD370AQ,1 To 25,Range Of Values,,
