,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,WTDRD1,,,,,,,,,,
2,WTDR2D,,,,,,,,,,
3,DR1DRSTZ,,,,,,,,,,
4,DR1EXMER,,,,,,,,,,
5,DRABF,,,,,,,,,,
6,DRDINT,,,,,,,,,,
7,DR1DAY,,,,,,,,,,
8,DR1LANG,,,,,,,,,,
9,DR1MNRSP,,,,,,,,,,
10,DR1HELPD,,,,,,,,,,
11,DBQ095Z,,,,,,,,,,
12,DBD100,,,,,,,,,,
13,DRQSPREP,,,,,,,,,,
14,DRQSDIET,,,,,,,,,,
15,DRQSDT1,,,,,,,,,,
16,DRQSDT2,,,,,,,,,,
17,DRQSDT3,,,,,,,,,,
18,DRQSDT4,,,,,,,,,,
19,DRQSDT5,,,,,,,,,,
20,DRQSDT6,,,,,,,,,,
21,DRQSDT7,,,,,,,,,,
22,DRQSDT8,,,,,,,,,,
23,DRQSDT91,,,,,,,,,,
24,DR1TNUMF,,,,,,,,,,
25,DR1TKCAL,,,,,,,,,,
26,DR1TPROT,,,,,,,,,,
27,DR1TCARB,,,,,,,,,,
28,DR1TSUGR,,,,,,,,,,
29,DR1TFIBE,,,,,,,,,,
30,DR1TTFAT,,,,,,,,,,
31,DR1TSFAT,,,,,,,,,,
32,DR1TMFAT,,,,,,,,,,
33,DR1TPFAT,,,,,,,,,,
34,DR1TCHOL,,,,,,,,,,
35,DR1TATOC,,,,,,,,,,
36,DR1TATOA,,,,,,,,,,
37,DR1TRET,,,,,,,,,,
38,DR1TVARA,,,,,,,,,,
39,DR1TACAR,,,,,,,,,,
40,DR1TBCAR,,,,,,,,,,
41,DR1TCRYP,,,,,,,,,,
42,DR1TLYCO,,,,,,,,,,
43,DR1TLZ,,,,,,,,,,
44,DR1TVB1,,,,,,,,,,
45,DR1TVB2,,,,,,,,,,
46,DR1TNIAC,,,,,,,,,,
47,DR1TVB6,,,,,,,,,,
48,DR1TFOLA,,,,,,,,,,
49,DR1TFA,,,,,,,,,,
50,DR1TFF,,,,,,,,,,
51,DR1TFDFE,,,,,,,,,,
