,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,DTD010Q,,,,,,,,,,
2,DTQ010U,,,,,,,,,,
3,DTDCER,,,,,,,,,,
4,DTQ020a,,,,,,,,,,
5,DTD020aF,,,,,,,,,,
6,DTQ020b,,,,,,,,,,
7,DTD020bF,,,,,,,,,,
8,DTD030Q,,,,,,,,,,
9,DTQ030U,,,,,,,,,,
10,DTD040Q,,,,,,,,,,
11,DTQ040U,,,,,,,,,,
12,DTD050Q,,,,,,,,,,
13,DTQ050U,,,,,,,,,,
14,DTQ305,,,,,,,,,,
15,DTD060Q,,,,,,,,,,
16,DTQ060U,,,,,,,,,,
17,DTD070Q,,,,,,,,,,
18,DTQ070U,,,,,,,,,,
19,DTD080Q,,,,,,,,,,
20,DTQ080U,,,,,,,,,,
21,DTD090Q,,,,,,,,,,
22,DTQ090U,,,,,,,,,,
23,DTD100Q,,,,,,,,,,
24,DTQ100U,,,,,,,,,,
25,DTD110Q,,,,,,,,,,
26,DTQ110U,,,,,,,,,,
27,DTD120Q,,,,,,,,,,
28,DTQ120U,,,,,,,,,,
29,DTD130Q,,,,,,,,,,
30,DTQ130U,,,,,,,,,,
31,DTD140Q,,,,,,,,,,
32,DTQ140U,,,,,,,,,,
33,DTD150Q,,,,,,,,,,
34,DTQ150U,,,,,,,,,,
35,DTD160Q,,,,,,,,,,
36,DTQ160U,,,,,,,,,,
37,DTD170Q,,,,,,,,,,
38,DTQ170U,,,,,,,,,,
39,DTD180Q,,,,,,,,,,
40,DTQ180U,,,,,,,,,,
41,DTD190Q,,,,,,,,,,
42,DTQ190U,,,,,,,,,,
43,DTD200Q,,,,,,,,,,
44,DTQ200U,,,,,,,,,,
45,DTD210Q,,,,,,,,,,
46,DTQ210U,,,,,,,,,,
47,DTD220Q,,,,,,,,,,
48,DTQ220U,,,,,,,,,,
49,DTD230Q,,,,,,,,,,
50,DTQ230U,,,,,,,,,,
51,DTD240Q,,,,,,,,,,
52,DTQ240U,,,,,,,,,,
53,DTD250Q,,,,,,,,,,
54,DTQ250U,,,,,,,,,,
55,DTD260Q,,,,,,,,,,
56,DTQ260U,,,,,,,,,,
