,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,DR2ILINE,,,,,,,,,,
2,WTDRD1,,,,,,,,,,
3,WTDR2D,,,,,,,,,,
4,DR2DRSTZ,,,,,,,,,,
5,DR2EXMER,,,,,,,,,,
6,DRABF,,,,,,,,,,
7,DRDINT,,,,,,,,,,
8,DR2DAY,,,,,,,,,,
9,DR2LANG,,,,,,,,,,
10,DR2CCMNM,,,,,,,,,,
11,DR2CCMTX,,,,,,,,,,
12,DR2_020,,,,,,,,,,
13,DR2_030Z,,,,,,,,,,
14,DR2FS,,,,,,,,,,
15,DR2_040Z,,,,,,,,,,
16,DR2IFDCD,,,,,,,,,,
17,DR2MC,,,,,,,,,,
18,DR2IGRMS,,,,,,,,,,
19,DR2IKCAL,,,,,,,,,,
20,DR2IPROT,,,,,,,,,,
21,DR2ICARB,,,,,,,,,,
22,DR2ISUGR,,,,,,,,,,
23,DR2IFIBE,,,,,,,,,,
24,DR2ITFAT,,,,,,,,,,
25,DR2ISFAT,,,,,,,,,,
26,DR2IMFAT,,,,,,,,,,
27,DR2IPFAT,,,,,,,,,,
28,DR2ICHOL,,,,,,,,,,
29,DR2IATOC,,,,,,,,,,
30,DR2IATOA,,,,,,,,,,
31,DR2IRET,,,,,,,,,,
32,DR2IVARA,,,,,,,,,,
33,DR2IACAR,,,,,,,,,,
34,DR2IBCAR,,,,,,,,,,
35,DR2ICRYP,,,,,,,,,,
36,DR2ILYCO,,,,,,,,,,
37,DR2ILZ,,,,,,,,,,
38,DR2IVB1,,,,,,,,,,
39,DR2IVB2,,,,,,,,,,
40,DR2INIAC,,,,,,,,,,
41,DR2IVB6,,,,,,,,,,
42,DR2IFOLA,,,,,,,,,,
43,DR2IFA,,,,,,,,,,
44,DR2IFF,,,,,,,,,,
45,DR2IFDFE,,,,,,,,,,
46,DR2IVB12,,,,,,,,,,
47,DR2IB12A,,,,,,,,,,
48,DR2IVC,,,,,,,,,,
49,DR2IVK,,,,,,,,,,
50,DR2ICALC,,,,,,,,,,
51,DR2IPHOS,,,,,,,,,,
52,DR2IMAGN,,,,,,,,,,
53,DR2IIRON,,,,,,,,,,
54,DR2IZINC,,,,,,,,,,
55,DR2ICOPP,,,,,,,,,,
56,DR2ISODI,,,,,,,,,,
57,DR2IPOTA,,,,,,,,,,
58,DR2ISELE,,,,,,,,,,
59,DR2ICAFF,,,,,,,,,,
60,DR2ITHEO,,,,,,,,,,
61,DR2IALCO,,,,,,,,,,
62,DR2IMOIS,,,,,,,,,,
63,DR2IS040,,,,,,,,,,
64,DR2IS060,,,,,,,,,,
65,DR2IS080,,,,,,,,,,
66,DR2IS100,,,,,,,,,,
67,DR2IS120,,,,,,,,,,
68,DR2IS140,,,,,,,,,,
69,DR2IS160,,,,,,,,,,
70,DR2IS180,,,,,,,,,,
71,DR2IM161,,,,,,,,,,
72,DR2IM181,,,,,,,,,,
73,DR2IM201,,,,,,,,,,
74,DR2IM221,,,,,,,,,,
75,DR2IP182,,,,,,,,,,
76,DR2IP183,,,,,,,,,,
77,DR2IP184,,,,,,,,,,
78,DR2IP204,,,,,,,,,,
79,DR2IP205,,,,,,,,,,
80,DR2IP225,,,,,,,,,,
81,DR2IP226,,,,,,,,,,
82,DR2ICHL,,,,,,,,,,
83,DR2DBIH,,,,,,,,,,
84,DR2IVD,,,,,,,,,,
85,WTDR2DPP,,,,,,,,,,
86,WTDRD1PP,,,,,,,,,,
