,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,CDQ001,,,,,,,,,,
2,CDQ002,,,,,,,,,,
3,CDQ003,,,,,,,,,,
4,CDQ004,,,,,,,,,,
5,CDQ005,,,,,,,,,,
6,CDQ006,,,,,,,,,,
7,CDQ009A,,,,,,,,,,
8,CDQ009B,,,,,,,,,,
9,CDQ009C,,,,,,,,,,
10,CDQ009D,,,,,,,,,,
11,CDQ009E,,,,,,,,,,
12,CDQ009F,,,,,,,,,,
13,CDQ009G,,,,,,,,,,
14,CDQ009H,,,,,,,,,,
15,CDQ008,,,,,,,,,,
16,CDQ010,,,,,,,,,,
17,CDQ003A,,,,,,,,,,
18,CDQ020,,,,,,,,,,
19,CDQ030,,,,,,,,,,
20,CDQ040,,,,,,,,,,
21,CDQ050,,,,,,,,,,
22,CDQ060,,,,,,,,,,
23,CDQ070,,,,,,,,,,
24,CDQ080,,,,,,,,,,
25,CDQ090,,,,,,,,,,
