,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,WHQ030M,,,,,,,,,,
2,WHQ500,,,,,,,,,,
3,WHQ520,,,,,,,,,,
4,WHQ510A,,,,,,,,,,
5,WHQ510B,,,,,,,,,,
6,WHQ510C,,,,,,,,,,
7,WHQ510D,,,,,,,,,,
8,WHQ510E,,,,,,,,,,
9,WHQ510F,,,,,,,,,,
10,WHQ510G,,,,,,,,,,
11,WHQ510H,,,,,,,,,,
12,WHQ510I,,,,,,,,,,
13,WHQ510J,,,,,,,,,,
14,WHQ510K,,,,,,,,,,
15,WHQ510L,,,,,,,,,,
16,WHQ510M,,,,,,,,,,
17,WHQ510N,,,,,,,,,,
18,WHQ510O,,,,,,,,,,
19,WHQ510U,,,,,,,,,,
20,WHQ530,,,,,,,,,,
21,WHQ540,,,,,,,,,,
22,WHQ550,,,,,,,,,,
23,WHQ560,,,,,,,,,,
24,WHQ570,,,,,,,,,,
25,WHQ580,,,,,,,,,,
26,WHQ510P,,,,,,,,,,
