,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,IMQ010,,,,,,,,,,
2,IMQ020,,,,,,,,,,
3,IMQ030,,,,,,,,,,
4,IMD010,,,,,,,,,,
5,IMQ005,,,,,,,,,,
6,IMQ011,,,,,,,,,,
7,IMQ040,,,,,,,,,,
8,IMQ045,,,,,,,,,,
9,IMQ035,,,,,,,,,,
10,IMQ070,,,,,,,,,,
11,IMQ080,,,,,,,,,,
12,IMQ090,,,,,,,,,,
13,IMQ050,,,,,,,,,,
14,IMQ060,,,,,,,,,,
15,IMD080,,,,,,,,,,
16,IMQ100,,,,,,,,,,
17,IMQ081A,,,,,,,,,,
18,IMQ081B,,,,,,,,,,
19,IMQ081C,,,,,,,,,,
20,IMQ081D,,,,,,,,,,
