,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,DUQ100,,,,,,,,,,
2,DUQ110,,,,,,,,,,
3,DUQ120,,,,,,,,,,
4,DUQ130,,,,,,,,,,
5,DUAISC,,,,,,,,,,
6,DUQ200,,,,,,,,,,
7,DUQ210,,,,,,,,,,
8,DUQ220Q,,,,,,,,,,
9,DUQ220U,,,,,,,,,,
10,DUQ230,,,,,,,,,,
11,DUQ240,,,,,,,,,,
12,DUQ250,,,,,,,,,,
13,DUQ260,,,,,,,,,,
14,DUQ270Q,,,,,,,,,,
15,DUQ270U,,,,,,,,,,
16,DUQ272,,,,,,,,,,
17,DUQ280,,,,,,,,,,
18,DUQ290,,,,,,,,,,
19,DUQ300,,,,,,,,,,
20,DUQ310Q,,,,,,,,,,
21,DUQ310U,,,,,,,,,,
22,DUQ320,,,,,,,,,,
23,DUQ330,,,,,,,,,,
24,DUQ340,,,,,,,,,,
25,DUQ350Q,,,,,,,,,,
26,DUQ350U,,,,,,,,,,
27,DUQ352,,,,,,,,,,
28,DUQ360,,,,,,,,,,
29,DUQ370,,,,,,,,,,
30,DUQ380A,,,,,,,,,,
31,DUQ380B,,,,,,,,,,
32,DUQ380C,,,,,,,,,,
33,DUQ380D,,,,,,,,,,
34,DUQ380E,,,,,,,,,,
35,DUQ390,,,,,,,,,,
36,DUQ400Q,,,,,,,,,,
37,DUQ400U,,,,,,,,,,
38,DUQ410,,,,,,,,,,
39,DUQ420,,,,,,,,,,
40,DUQ425,,,,,,,,,,
41,DUQ430,,,,,,,,,,
42,DUQ211,,,,,,,,,,
43,DUQ213,,,,,,,,,,
44,DUQ215Q,,,,,,,,,,
45,DUQ215U,,,,,,,,,,
46,DUQ217,,,,,,,,,,
47,DUQ219,,,,,,,,,,
48,DUQ426,,,,,,,,,,
49,DUD380F,,,,,,,,,,
