,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,RXQ510,,,,,,,,,,
1,RXQ515,,,,,,,,,,
2,RXQ520,,,,,,,,,,
3,SEQN,,,,,,,,,,
4,RXDCOUNT,,,,,,,,,,
5,RXDDAYS,,,,,,,,,,
6,RXDDRGID,,,,,,,,,,
7,RXDDRUG,,,,,,,,,,
8,RXDRSC1,,,,,,,,,,
9,RXDRSC2,,,,,,,,,,
10,RXDRSC3,,,,,,,,,,
11,RXDRSD1,,,,,,,,,,
12,RXDRSD2,,,,,,,,,,
13,RXDRSD3,,,,,,,,,,
14,RXDUSE,,,,,,,,,,
15,RXQSEEN,,,,,,,,,,
16,RXD300,,,,,,,,,,
17,RXD310,,,,,,,,,,
18,RXD320,,,,,,,,,,
19,RXD330,,,,,,,,,,
20,RXD331Q,,,,,,,,,,
21,RXD331U,,,,,,,,,,
22,RXQ355,,,,,,,,,,
23,RXQ360G,,,,,,,,,,
24,RXQ360Q,,,,,,,,,,
25,RXQ360U,,,,,,,,,,
26,RXQ525G,,,,,,,,,,
27,RXQ525Q,,,,,,,,,,
28,RXQ525U,,,,,,,,,,
29,RXD530,,,,,,,,,,
30,RXD030,,,,,,,,,,
31,RXD240B,,,,,,,,,,
32,NHCODE,,,,,,,,,,
33,RXQ250,,,,,,,,,,
34,RXD260,,,,,,,,,,
35,FDACODE1,,,,,,,,,,
36,FDACODE2,,,,,,,,,,
37,FDACODE3,,,,,,,,,,
38,FDACODE4,,,,,,,,,,
39,FDACODE5,,,,,,,,,,
40,FDACODE6,,,,,,,,,,
41,RXD295,,,,,,,,,,
42,RXQ033,,,,,,,,,,
43,RXQ050,,,,,,,,,,
44,RXQ280,,,,,,,,,,
