,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,ECD010,,,,,,,,,,
2,ECQ020,,,,,,,,,,
3,ECQ030,,,,,,,,,,
4,ECQ040,,,,,,,,,,
5,ECQ060,,,,,,,,,,
6,ECD070A,,,,,,,,,,
7,ECD070B,,,,,,,,,,
8,ECQ075,,,,,,,,,,
9,ECQ080,,,,,,,,,,
10,ECQ090,,,,,,,,,,
11,ECQ100,,,,,,,,,,
12,ECQ110,,,,,,,,,,
13,FSQ121,,,,,,,,,,
14,ECQ095,,,,,,,,,,
15,WHQ030E,,,,,,,,,,
16,MCQ080E,,,,,,,,,,
17,ECQ150,,,,,,,,,,
18,ECQ115,,,,,,,,,,
19,ECQ010,,,,,,,,,,
20,ECD100,,,,,,,,,,
21,ECD110,,,,,,,,,,
22,ECQ130,,,,,,,,,,
23,ECQ140,,,,,,,,,,
