,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,DIQ010,,,,,,,,,,
2,DID040G,,,,,,,,,,
3,DID040Q,,,,,,,,,,
4,DIQ050,,,,,,,,,,
5,DID060G,,,,,,,,,,
6,DID060Q,,,,,,,,,,
7,DIQ060U,,,,,,,,,,
8,DIQ065,,,,,,,,,,
9,DIQ070,,,,,,,,,,
10,DIQ075,,,,,,,,,,
11,DIQ080,,,,,,,,,,
12,DIQ085,,,,,,,,,,
13,DIQ090,,,,,,,,,,
14,DIQ100,,,,,,,,,,
15,DIQ110,,,,,,,,,,
16,DIQ120,,,,,,,,,,
17,DIQ130,,,,,,,,,,
18,DIQ140,,,,,,,,,,
19,DIQ150,,,,,,,,,,
20,DID040,,,,,,,,,,
21,DIQ219,,,,,,,,,,
22,DIQ220,,,,,,,,,,
23,DIQ159,,,,,,,,,,
24,DIQ160,,,,,,,,,,
25,DIQ170,,,,,,,,,,
26,DIQ180,,,,,,,,,,
27,DIQ190A,,,,,,,,,,
28,DIQ190B,,,,,,,,,,
29,DIQ190C,,,,,,,,,,
30,DIQ200A,,,,,,,,,,
31,DIQ200B,,,,,,,,,,
32,DIQ200C,,,,,,,,,,
33,DID060,,,,,,,,,,
34,DID065,,,,,,,,,,
35,DID070,,,,,,,,,,
36,DID229,,,,,,,,,,
37,DIQ230,,,,,,,,,,
38,DIQ240,,,,,,,,,,
39,DID250,,,,,,,,,,
40,DID260,,,,,,,,,,
41,DIQ260U,,,,,,,,,,
42,DID270,,,,,,,,,,
43,DIQ280,,,,,,,,,,
44,DIQ290,,,,,,,,,,
45,DIQ295,,,,,,,,,,
46,DIQ300S,,,,,,,,,,
47,DIQ300D,,,,,,,,,,
48,DID310S,,,,,,,,,,
49,DID310D,,,,,,,,,,
50,DID320,,,,,,,,,,
51,DID330,,,,,,,,,,
52,DID340,,,,,,,,,,
53,DID350,,,,,,,,,,
54,DIQ350U,,,,,,,,,,
55,DIQ360,,,,,,,,,,
56,DIQ229,,,,,,,,,,
57,DID341,,,,,,,,,,
58,DIQ172,,,,,,,,,,
59,DIQ175A,,,,,,,,,,
60,DIQ175B,,,,,,,,,,
61,DIQ175C,,,,,,,,,,
62,DIQ175D,,,,,,,,,,
63,DIQ175E,,,,,,,,,,
64,DIQ175F,,,,,,,,,,
65,DIQ175G,,,,,,,,,,
66,DIQ175H,,,,,,,,,,
67,DIQ175I,,,,,,,,,,
68,DIQ175J,,,,,,,,,,
69,DIQ175K,,,,,,,,,,
70,DIQ175L,,,,,,,,,,
71,DIQ175M,,,,,,,,,,
72,DIQ175N,,,,,,,,,,
73,DIQ175O,,,,,,,,,,
74,DIQ175P,,,,,,,,,,
75,DIQ175Q,,,,,,,,,,
76,DIQ175R,,,,,,,,,,
77,DIQ175S,,,,,,,,,,
78,DIQ175T,,,,,,,,,,
79,DIQ175U,,,,,,,,,,
80,DIQ175V,,,,,,,,,,
81,DIQ175W,,,,,,,,,,
82,DIQ275,,,,,,,,,,
83,DIQ291,,,,,,,,,,
84,DIQ175X,,,,,,,,,,
85,DIQ040G,,,,,,,,,,
86,DIQ040Q,,,,,,,,,,
87,DIQ060G,,,,,,,,,,
88,DIQ060Q,,,,,,,,,,
