,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,CSQ010,,,,,,,,,,
2,CSQ020,,,,,,,,,,
3,CSQ030,,,,,,,,,,
4,CSQ040,,,,,,,,,,
5,CSQ050,,,,,,,,,,
6,CSQ060,,,,,,,,,,
7,CSQ070,,,,,,,,,,
8,CSQ080,,,,,,,,,,
9,CSQ090A,,,,,,,,,,
10,CSQ090B,,,,,,,,,,
11,CSQ090C,,,,,,,,,,
12,CSQ090D,,,,,,,,,,
13,CSQ100,,,,,,,,,,
14,CSQ110,,,,,,,,,,
15,CSQ120A,,,,,,,,,,
16,CSQ120B,,,,,,,,,,
17,CSQ120C,,,,,,,,,,
18,CSQ120D,,,,,,,,,,
19,CSQ120E,,,,,,,,,,
20,CSQ120F,,,,,,,,,,
21,CSQ120G,,,,,,,,,,
22,CSQ120H,,,,,,,,,,
23,CSQ130,,,,,,,,,,
24,CSQ140,,,,,,,,,,
25,CSQ150,,,,,,,,,,
26,CSQ160,,,,,,,,,,
27,CSQ170,,,,,,,,,,
28,CSQ180,,,,,,,,,,
29,CSQ190,,,,,,,,,,
30,CSQ200,,,,,,,,,,
31,CSQ202,,,,,,,,,,
32,CSQ204,,,,,,,,,,
33,CSQ210,,,,,,,,,,
34,CSQ220,,,,,,,,,,
35,CSQ240,,,,,,,,,,
36,CSQ250,,,,,,,,,,
37,CSQ260,,,,,,,,,,
38,AUQ136,,,,,,,,,,
39,AUQ138,,,,,,,,,,
