,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,HCASCST1,,,,,,,,,,
2,HCASCCT1,,,,,,,,,,
3,HCQ020,,,,,,,,,,
4,HCQ030,,,,,,,,,,
5,HCQ040,,,,,,,,,,
6,HCQ060,,,,,,,,,,
7,HCQ070,,,,,,,,,,
8,HCQ080,,,,,,,,,,
9,HCQ090,,,,,,,,,,
10,HCQ100,,,,,,,,,,
11,HCQ110,,,,,,,,,,
12,HCQ120,,,,,,,,,,
13,HCQ130,,,,,,,,,,
14,HCQ140A,,,,,,,,,,
15,HCQ140B,,,,,,,,,,
16,HCQ140C,,,,,,,,,,
17,HCQ140D,,,,,,,,,,
18,HCQ140E,,,,,,,,,,
19,HCQ150,,,,,,,,,,
20,HCQ160,,,,,,,,,,
21,HCQ170,,,,,,,,,,
22,HCQ180,,,,,,,,,,
23,HCQ190,,,,,,,,,,
24,HCQ200,,,,,,,,,,
25,HCQ210,,,,,,,,,,
26,HCQ220,,,,,,,,,,
27,HCQ230,,,,,,,,,,
28,HCQ240,,,,,,,,,,
29,HCQ250,,,,,,,,,,
30,HCQ260,,,,,,,,,,
31,HCQ270,,,,,,,,,,
32,HCQ121,,,,,,,,,,
33,HCQ124,,,,,,,,,,
34,HCQ126A,,,,,,,,,,
35,HCQ126B,,,,,,,,,,
36,HCQ126C,,,,,,,,,,
37,HCQ126D,,,,,,,,,,
38,HCQ126E,,,,,,,,,,
