,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,HID010,,,,,,,,,,
2,HID030A,,,,,,,,,,
3,HID030B,,,,,,,,,,
4,HID030C,,,,,,,,,,
5,HID030D,,,,,,,,,,
6,HID030E,,,,,,,,,,
7,HID040,,,,,,,,,,
8,HIQ210,,,,,,,,,,
9,HIQ220,,,,,,,,,,
10,HIQ011,,,,,,,,,,
11,HIQ031A,,,,,,,,,,
12,HIQ031B,,,,,,,,,,
13,HIQ031C,,,,,,,,,,
14,HIQ031D,,,,,,,,,,
15,HIQ031E,,,,,,,,,,
16,HIQ031F,,,,,,,,,,
17,HIQ031G,,,,,,,,,,
18,HIQ031H,,,,,,,,,,
19,HIQ031I,,,,,,,,,,
20,HIQ031J,,,,,,,,,,
21,HIQ031AA,,,,,,,,,,
22,HIQ065,,,,,,,,,,
23,HIQ259,,,,,,,,,,
24,HIQ260,,,,,,,,,,
25,HIQ105,,,,,,,,,,
26,HIQ269,,,,,,,,,,
27,HIQ270,,,,,,,,,,
28,HIQ032A,,,,,,,,,,
29,HIQ032B,,,,,,,,,,
30,HIQ032C,,,,,,,,,,
31,HIQ032D,,,,,,,,,,
32,HIQ032E,,,,,,,,,,
33,HIQ032F,,,,,,,,,,
34,HIQ032H,,,,,,,,,,
35,HIQ032I,,,,,,,,,,
36,HIQ032J,,,,,,,,,,
