,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
0,SEQN,,,,,,,,,,
1,VTD241B,,,,,,,,,,
2,VTD244B,,,,,,,,,,
3,VTD251B,,,,,,,,,,
4,VTD261B,,,,,,,,,,
5,VTD271B,,,,,,,,,,
6,VTD281B,,,,,,,,,,
7,VTD281D,,,,,,,,,,
8,VTD281F,,,,,,,,,,
9,VTQ200A,,,,,,,,,,
10,VTQ210,,,,,,,,,,
11,VTQ231A,,,,,,,,,,
12,VTQ233A,,,,,,,,,,
13,VTQ233B,,,,,,,,,,
14,VTQ241A,,,,,,,,,,
15,VTQ244A,,,,,,,,,,
16,VTQ251A,,,,,,,,,,
17,VTQ261A,,,,,,,,,,
18,VTQ271A,,,,,,,,,,
19,VTQ281A,,,,,,,,,,
20,VTQ281C,,,,,,,,,,
21,VTQ281E,,,,,,,,,,
22,WTSVOCPR,,,,,,,,,,
23,WTSVOC2Y,,,,,,,,,,
24,VTQ220,,,,,,,,,,
25,VTQ230A,,,,,,,,,,
26,VTQ230B,,,,,,,,,,
27,VTQ240A,,,,,,,,,,
28,VTQ240B,,,,,,,,,,
29,VTQ250A,,,,,,,,,,
30,VTQ250B,,,,,,,,,,
31,VTQ260A,,,,,,,,,,
32,VTQ260B,,,,,,,,,,
33,VTQ270A,,,,,,,,,,
34,VTQ270B,,,,,,,,,,
35,VTQ280A,,,,,,,,,,
36,VTQ280B,,,,,,,,,,
37,VTQ280C,,,,,,,,,,
38,VTQ280D,,,,,,,,,,
39,VTQ280E,,,,,,,,,,
40,VTQ280F,,,,,,,,,,
41,VTQ280G,,,,,,,,,,
42,VTQ241B,,,,,,,,,,
43,VTQ244B,,,,,,,,,,
44,VTQ251B,,,,,,,,,,
45,VTQ261B,,,,,,,,,,
46,VTQ265A,,,,,,,,,,
47,VTQ265B,,,,,,,,,,
48,VTQ271B,,,,,,,,,,
49,VTQ281B,,,,,,,,,,
50,VTQ281D,,,,,,,,,,
51,VTQ281F,,,,,,,,,,
